Date,Equity
2000-01-03,10000.0
2000-01-04,10000.0
2000-01-05,10000.0
2000-01-06,10000.0
2000-01-07,10000.0
2000-01-10,10000.0
2000-01-11,10000.0
2000-01-12,10000.0
2000-01-13,10000.0
2000-01-14,10000.0
2000-01-18,10000.0
2000-01-19,10000.0
2000-01-20,10000.0
2000-01-21,10000.0
2000-01-24,10000.0
2000-01-25,10101.0056
2000-01-26,10087.6862
2000-01-27,10047.726
2000-01-28,9736.9423
2000-01-31,9998.8912
2000-02-01,10096.5672
2000-02-02,10105.445
2000-02-03,10105.445
2000-02-04,10105.445
2000-02-07,10105.445
2000-02-08,10105.445
2000-02-09,10105.445
2000-02-10,10105.445
2000-02-11,10105.445
2000-02-14,10085.2792
2000-02-15,10198.4319
2000-02-16,10198.4319
2000-02-17,10042.3961
2000-02-18,9827.568
2000-02-22,9802.6898
2000-02-23,9918.0227
2000-02-24,9719.0204
2000-02-25,9683.9681
2000-02-28,9886.3593
2000-02-29,9981.3387
2000-03-01,10053.707
2000-03-02,10060.4879
2000-03-03,10248.1848
2000-03-06,10248.1848
2000-03-07,10248.1848
2000-03-08,10278.6617
2000-03-09,10548.2026
2000-03-10,10548.2026
2000-03-13,10548.2026
2000-03-14,10548.2026
2000-03-15,10548.2026
2000-03-16,10548.2026
2000-03-17,10548.2026
2000-03-20,10548.2026
2000-03-21,10548.2026
2000-03-22,10548.2026
2000-03-23,10548.2026
2000-03-24,10548.2026
2000-03-27,10548.2026
2000-03-28,10548.2026
2000-03-29,10548.2026
2000-03-30,10548.2026
2000-03-31,10548.2026
2000-04-03,10548.2026
2000-04-04,10548.2026
2000-04-05,10548.2026
2000-04-06,10548.2026
2000-04-07,10548.2026
2000-04-10,10548.2026
2000-04-11,10548.2026
2000-04-12,10548.2026
2000-04-13,10318.9722
2000-04-14,9731.4288
2000-04-17,10069.7114
2000-04-18,10334.5492
2000-04-19,10238.8484
2000-04-20,10287.8159
2000-04-24,10176.5338
2000-04-25,10597.1561
2000-04-26,10597.1561
2000-04-27,10597.1561
2000-04-28,10597.1561
2000-05-01,10597.1561
2000-05-02,10597.1561
2000-05-03,10597.1561
2000-05-04,10583.1789
2000-05-05,10711.3047
2000-05-08,10711.3047
2000-05-09,10711.3047
2000-05-10,10711.3047
2000-05-11,10799.0367
2000-05-12,10799.0367
2000-05-15,10799.0367
