Date,Equity
2000-01-03,10000.0
2000-01-04,10000.0
2000-01-05,10000.0
2000-01-06,10000.0
2000-01-07,10386.2617
2000-01-10,10386.2617
2000-01-11,10386.2617
2000-01-12,10386.2617
2000-01-13,10424.3526
2000-01-14,10424.3526
2000-01-18,10424.3526
2000-01-19,10424.3526
2000-01-20,10424.3526
2000-01-21,10348.8762
2000-01-24,10058.0684
2000-01-25,10171.2808
2000-01-26,10091.3668
2000-01-27,10051.4065
2000-01-28,9740.6229
2000-01-31,10002.5717
2000-02-01,10100.2478
2000-02-02,10109.1256
2000-02-03,10260.0822
2000-02-04,10217.9028
2000-02-07,10202.3621
2000-02-08,10202.3621
2000-02-09,10202.3621
2000-02-10,10197.8809
2000-02-11,9991.7369
2000-02-14,10049.9975
2000-02-15,10163.1502
2000-02-16,10014.1426
2000-02-17,9962.6083
2000-02-18,9749.7511
2000-02-22,9725.1011
2000-02-23,9839.3759
2000-02-24,9642.1993
2000-02-25,9607.4686
2000-02-28,9808.003
2000-02-29,9808.003
2000-03-01,9808.003
2000-03-02,9808.003
2000-03-03,9808.003
2000-03-06,9808.003
2000-03-07,9808.003
2000-03-08,9808.003
2000-03-09,9808.003
2000-03-10,9808.003
2000-03-13,9808.003
2000-03-14,9808.003
2000-03-15,9808.003
2000-03-16,9808.003
2000-03-17,9808.003
2000-03-20,9808.003
2000-03-21,9808.003
2000-03-22,9808.003
2000-03-23,9808.003
2000-03-24,9808.003
2000-03-27,9808.003
2000-03-28,9808.003
2000-03-29,9808.003
2000-03-30,9808.003
2000-03-31,9856.9232
2000-04-03,9930.3036
2000-04-04,9930.3036
2000-04-05,9930.3036
2000-04-06,9930.3036
2000-04-07,9930.3036
2000-04-10,9930.3036
2000-04-11,9930.3036
2000-04-12,9930.3036
2000-04-13,9713.9272
2000-04-14,9159.3301
2000-04-17,9478.6436
2000-04-18,9728.6307
2000-04-19,9638.2963
2000-04-20,9684.518
2000-04-24,9579.476
2000-04-25,9976.512
2000-04-26,9976.512
2000-04-27,9976.512
2000-04-28,9976.512
2000-05-01,9976.512
2000-05-02,9976.512
2000-05-03,9976.512
2000-05-04,9963.4084
2000-05-05,10083.5263
2000-05-08,10062.5809
2000-05-09,9982.1089
2000-05-10,9757.2257
2000-05-11,9979.9083
2000-05-12,10087.9372
2000-05-15,10087.9372
2000-05-16,10087.9372
