Date,Close,InSignal,Entry,ExSignal,Exit,Position,StopLevel,MTM,Equity
2000-01-03,96.5551,,,,,,,0.0,10000.0
2000-01-04,92.7792,,,,,,,0.0,10000.0
2000-01-05,92.9451,,,,,,,0.0,10000.0
2000-01-06,91.4514,,,,,,,0.0,10000.0
2000-01-07,96.7625,LEX,93.1526,PNL,96.7625,107.0,67.7338,386.2617,10386.2617
2000-01-10,97.0945,,,,,,,0.0,10386.2617
2000-01-11,95.9326,,,,,,,0.0,10386.2617
2000-01-12,94.9783,,,,,,,0.0,10386.2617
2000-01-13,96.2646,LEX,95.9119,PNL,96.2646,108.0,67.7338,38.0909,10424.3526
2000-01-14,97.5717,,,,,,,0.0,10424.3526
2000-01-18,96.804,,,,,,,0.0,10424.3526
2000-01-19,97.5924,,,,,,,0.0,10424.3526
2000-01-20,96.0987,,,,,,,0.0,10424.3526
2000-01-21,95.8912,LEX,96.5966,,,107.0,67.6176,-75.4764,10348.8762
2000-01-24,93.1734,,,,,107.0,67.7773,-366.2843,10058.0684
2000-01-25,94.2314,,,,,107.0,67.7773,-253.0718,10171.2808
2000-01-26,93.4846,,,,,107.0,67.7773,-332.9859,10091.3668
2000-01-27,93.1111,,,,,107.0,67.7773,-372.9461,10051.4065
2000-01-28,90.2066,,,,,107.0,67.7773,-683.7297,9740.6229
2000-01-31,92.6547,,,,,107.0,67.7773,-421.7809,10002.5717
2000-02-01,93.5676,,,,,107.0,67.7773,-324.1049,10100.2478
2000-02-02,93.6505,,,,,107.0,67.7773,-315.2271,10109.1256
2000-02-03,95.0613,,,,,107.0,67.7773,-164.2704,10260.0822
2000-02-04,94.6671,,,,,107.0,67.7773,-206.4498,10217.9028
2000-02-07,94.5219,,,EXPIRY,94.5219,107.0,67.7773,-221.9905,10202.3621
2000-02-08,95.8082,,,,,,,0.0,10202.3621
2000-02-09,93.7958,,,,,,,0.0,10202.3621
2000-02-10,93.9825,LEX,94.024,,,108.0,66.2525,-4.4813,10197.8809
2000-02-11,92.0738,,,,,108.0,66.2525,-210.6252,9991.7369
2000-02-14,92.6132,,,,,108.0,66.2525,-152.3646,10049.9975
2000-02-15,93.6609,,,,,108.0,66.2525,-39.2119,10163.1502
2000-02-16,92.2812,,,,,108.0,66.2525,-188.2195,10014.1426
2000-02-17,91.8041,,,,,108.0,66.2525,-239.7539,9962.6083
2000-02-18,89.8332,,,,,108.0,66.2525,-452.6111,9749.7511
2000-02-22,89.6049,,,,,108.0,66.2525,-477.261,9725.1011
2000-02-23,90.663,,,,,108.0,66.2525,-362.9862,9839.3759
2000-02-24,88.8373,,,,,108.0,66.2525,-560.1629,9642.1993
2000-02-25,88.5157,,,,,108.0,66.2525,-594.8935,9607.4686
2000-02-28,90.3725,,,EXPIRY,90.3725,108.0,66.2525,-394.3591,9808.003
2000-02-29,91.2439,,,,,,,0.0,9808.003
2000-03-01,91.9078,,,,,,,0.0,9808.003
2000-03-02,91.97,,,,,,,0.0,9808.003
2000-03-03,93.692,,,,,,,0.0,9808.003
2000-03-06,92.7792,,,,,,,0.0,9808.003
2000-03-07,90.9846,,,,,,,0.0,9808.003
2000-03-08,90.8705,,,,,,,0.0,9808.003
2000-03-09,93.526,,,,,,,0.0,9808.003
2000-03-10,93.0281,,,,,,,0.0,9808.003
2000-03-13,92.0116,,,,,,,0.0,9808.003
2000-03-14,90.7045,,,,,,,0.0,9808.003
2000-03-15,92.8207,,,,,,,0.0,9808.003
2000-03-16,97.1567,,,,,,,0.0,9808.003
2000-03-17,97.7988,,,,,,,0.0,9808.003
2000-03-20,97.2997,,,,,,,0.0,9808.003
2000-03-21,99.2964,,,,,,,0.0,9808.003
2000-03-22,99.8996,,,,,,,0.0,9808.003
2000-03-23,101.6051,,,,,,,0.0,9808.003
