InDate,ExDate,Position,Duration,InSignal,Entry,ExSignal,Exit,DollarBase,Value,TradeRtn,PNL
2000-01-07,2000-01-07,107,0,LEX,93.1526,PNL,96.7625,10000.0,386.2617,0.0386,386.2617
2000-01-13,2000-01-13,108,0,LEX,95.9119,PNL,96.2646,10386.2617,38.0909,0.0037,424.3526
2000-01-21,2000-02-07,107,11,LEX,96.5966,EXPIRY,94.5219,10424.3526,-221.9905,-0.0213,202.3621
2000-02-10,2000-02-28,108,11,LEX,94.024,EXPIRY,90.3725,10202.3621,-394.3591,-0.0387,-191.997
2000-03-31,2000-03-31,98,0,LEX,99.5876,PNL,100.0868,9808.003,48.9202,0.005,-143.0768
2000-04-03,2000-04-03,98,0,LEX,99.9204,PNL,100.6692,9856.9232,73.3803,0.0074,-69.6964
2000-04-13,2000-04-25,101,7,LEX,98.1525,PNL,98.61,9930.3036,46.2084,0.0047,-23.488
2000-05-04,2000-05-05,105,1,LEX,94.5125,PNL,95.5317,9976.512,107.0143,0.0107,83.5263
2000-05-08,2000-05-12,106,4,LEX,95.0117,PNL,95.0533,10083.5263,4.4109,0.0004,87.9372
2000-05-18,2000-06-02,104,10,LEX,96.9253,PNL,98.402,10087.9372,153.5854,0.0152,241.5225
2000-06-13,2000-06-13,106,0,LEX,96.3845,PNL,98.2356,10241.5225,196.2216,0.0192,437.7442
2000-06-23,2000-06-26,107,1,LEX,97.2786,PNL,97.56,10437.7442,30.1124,0.0029,467.8566
2000-06-27,2000-07-03,107,4,LEX,97.3932,PNL,98.2584,10467.8566,92.578,0.0088,560.4345
2000-07-20,2000-07-20,106,0,LEX,99.4051,PNL,100.4892,10560.4345,114.9163,0.0109,675.3508
2000-07-24,2000-08-07,108,10,LEX,98.8214,PNL,98.8214,10675.3508,0.0039,0.0,675.3547
2000-08-10,2000-08-14,108,2,LEX,98.4252,PNL,99.5927,10675.3547,126.0891,0.0118,801.4438
2000-08-31,2000-08-31,107,0,LEX,100.7811,PNL,101.6359,10801.4438,91.4619,0.0085,892.9057
2000-09-07,2000-09-07,108,0,LEX,100.2391,PNL,100.6352,10892.9057,42.7809,0.0039,935.6866
2000-09-11,2000-09-18,109,5,LEX,99.9055,STOP_OUT,96.7496,10935.6866,-343.9857,-0.0315,591.7009
2000-09-19,2000-09-19,109,0,LEX,97.0631,PNL,97.6274,10591.7009,61.5109,0.0058,653.2118
2000-09-22,2000-09-22,111,0,LEX,95.3911,PNL,97.1677,10653.2118,197.1987,0.0185,850.4106
2000-09-26,2000-09-28,112,2,LEX,96.5615,PNL,96.9795,10850.4106,46.8185,0.0043,897.229
2000-10-09,2000-10-12,115,3,LEX,94.5133,STOP_OUT,89.0373,10897.229,-629.7414,-0.0578,267.4876
2000-10-13,2000-10-13,115,0,LEX,88.9118,PNL,92.0052,10267.4876,355.731,0.0346,623.2186
2000-10-16,2000-10-16,115,0,LEX,91.9006,PNL,92.4231,10623.2186,60.0897,0.0057,683.3083
2000-10-19,2000-10-19,116,0,LEX,91.5244,PNL,93.1756,10683.3083,191.5345,0.0179,874.8428
2000-10-26,2000-10-27,118,1,LEX,91.7125,PNL,93.1547,10874.8428,170.1807,0.0156,1045.0235
2000-11-09,2000-11-09,117,0,LEX,93.6354,PNL,93.6563,11045.0235,2.4454,0.0002,1047.4689
2000-11-10,2000-11-14,118,2,LEX,92.9666,PNL,93.0502,11047.4689,9.8615,0.0009,1057.3304
2000-11-20,2000-11-27,121,4,LEX,90.7929,PNL,90.981,11057.3304,22.7618,0.0021,1080.0922
2000-11-30,2000-12-04,125,2,LEX,88.6192,PNL,89.1835,11080.0922,70.5418,0.0064,1150.6341
2000-12-05,2000-12-05,123,0,LEX,90.2077,PNL,92.1096,11150.6341,233.9422,0.021,1384.5763
2000-12-08,2000-12-11,124,1,LEX,91.6707,PNL,92.7158,11384.5763,129.5843,0.0114,1514.1606
2000-12-14,2000-12-20,126,4,LEX,90.8765,STOP_OUT,84.6981,11514.1606,-778.4791,-0.0676,735.6815
