+------------+--------+----------+--------+----------+--------+----------+-----------+----------+----------+
|    Date    |  Close | InSignal |  Entry | ExSignal |   Exit | Position | StopLevel |      MTM |   Equity |
+------------+--------+----------+--------+----------+--------+----------+-----------+----------+----------+
| 2000-01-03 |  96.56 |          |        |          |        |          |           |          | 10000.00 |
| 2000-01-04 |  92.78 |          |        |          |        |          |           |          | 10000.00 |
| 2000-01-05 |  92.95 |          |        |          |        |          |           |          | 10000.00 |
| 2000-01-06 |  91.45 |          |        |          |        |          |           |          | 10000.00 |
| 2000-01-07 |  96.76 |          |        |          |        |          |           |          | 10000.00 |
| 2000-01-10 |  97.09 |          |        |          |        |          |           |          | 10000.00 |
| 2000-01-11 |  95.93 |          |        |          |        |          |           |          | 10000.00 |
| 2000-01-12 |  94.98 |          |        |          |        |          |           |          | 10000.00 |
| 2000-01-13 |  96.26 |          |        |          |        |          |           |          | 10000.00 |
| 2000-01-14 |  97.57 |          |        |          |        |          |           |          | 10000.00 |
| 2000-01-18 |  96.80 |   LEX    |  96.49 |   PNL    |  96.80 |      103 |     68.14 |    32.05 | 10032.05 |
| 2000-01-19 |  97.59 |          |        |          |        |          |           |          | 10032.05 |
| 2000-01-20 |  96.10 |   LEX    |  97.57 |          |        |      102 |     68.30 |  -150.25 |  9881.81 |
| 2000-01-21 |  95.89 |          |        |          |        |      102 |     68.30 |  -171.41 |  9860.64 |
| 2000-01-24 |  93.17 |          |        |          |        |      102 |     68.30 |  -448.63 |  9583.42 |
| 2000-01-25 |  94.23 |          |        |          |        |      102 |     68.30 |  -340.71 |  9691.34 |
| 2000-01-26 |  93.48 |          |        |          |        |      102 |     68.30 |  -416.89 |  9615.16 |
| 2000-01-27 |  93.11 |          |        |          |        |      102 |     68.30 |  -454.98 |  9577.07 |
| 2000-01-28 |  90.21 |          |        |          |        |      102 |     68.30 |  -751.24 |  9280.81 |
| 2000-01-31 |  92.65 |          |        |          |        |      102 |     68.30 |  -501.53 |  9530.52 |
| 2000-02-01 |  93.57 |          |        |          |        |      102 |     68.30 |  -408.42 |  9623.63 |
| 2000-02-02 |  93.65 |          |        |          |        |      102 |     68.30 |  -399.96 |  9632.09 |
| 2000-02-03 |  95.06 |          |        |          |        |      102 |     68.30 |  -256.06 |  9776.00 |
| 2000-02-04 |  94.67 |          |        |  EXPIRY  |  94.67 |      102 |     68.30 |  -296.27 |  9735.79 |
| 2000-02-07 |  94.52 |   LEX    |  94.65 |          |        |      102 |     66.35 |   -12.70 |  9723.09 |
| 2000-02-08 |  95.81 |          |        |   PNL    |  95.81 |      102 |     67.18 |   118.51 |  9854.29 |
| 2000-02-09 |  93.80 |   LEX    |  95.91 |          |        |      102 |     67.14 |  -215.85 |  9638.44 |
| 2000-02-10 |  93.98 |          |        |          |        |      102 |     67.14 |  -196.80 |  9657.49 |
| 2000-02-11 |  92.07 |          |        |          |        |      102 |     67.14 |  -391.50 |  9462.80 |
| 2000-02-14 |  92.61 |          |        |          |        |      102 |     67.14 |  -336.47 |  9517.82 |
| 2000-02-15 |  93.66 |          |        |          |        |      102 |     67.14 |  -229.61 |  9624.69 |
| 2000-02-16 |  92.28 |          |        |          |        |      102 |     67.14 |  -370.33 |  9483.96 |
| 2000-02-17 |  91.80 |          |        |          |        |      102 |     67.14 |  -419.01 |  9435.29 |
| 2000-02-18 |  89.83 |          |        |          |        |      102 |     67.14 |  -620.04 |  9234.26 |
| 2000-02-22 |  89.60 |          |        |          |        |      102 |     67.14 |  -643.32 |  9210.98 |
| 2000-02-23 |  90.66 |          |        |          |        |      102 |     67.14 |  -535.39 |  9318.90 |
| 2000-02-24 |  88.84 |          |        |          |        |      102 |     67.14 |  -721.61 |  9132.68 |
| 2000-02-25 |  88.52 |          |        |  EXPIRY  |  88.52 |      102 |     67.14 |  -754.42 |  9099.88 |
| 2000-02-28 |  90.37 |          |        |          |        |          |           |          |  9099.88 |
| 2000-02-29 |  91.24 |          |        |          |        |          |           |          |  9099.88 |
| 2000-03-01 |  91.91 |   LEX    |  91.37 |   PNL    |  91.91 |       99 |     64.60 |    53.40 |  9153.28 |
| 2000-03-02 |  91.97 |   LEX    |  92.07 |          |        |       99 |     64.66 |   -10.27 |  9143.01 |
| 2000-03-03 |  93.69 |          |        |   PNL    |  93.69 |       99 |     65.86 |   160.21 |  9313.49 |
| 2000-03-06 |  92.78 |   LEX    |  93.48 |          |        |       99 |     65.69 |   -69.83 |  9243.65 |
| 2000-03-07 |  90.98 |          |        |          |        |       99 |     65.69 |  -247.50 |  9065.99 |
| 2000-03-08 |  90.87 |          |        |          |        |       99 |     65.69 |  -258.79 |  9054.70 |
| 2000-03-09 |  93.53 |          |        |   PNL    |  93.53 |       99 |     65.69 |     4.11 |  9317.60 |
| 2000-03-10 |  93.03 |          |        |          |        |          |           |          |  9317.60 |
| 2000-03-13 |  92.01 |          |        |          |        |          |           |          |  9317.60 |
| 2000-03-14 |  90.70 |          |        |          |        |          |           |          |  9317.60 |
| 2000-03-15 |  92.82 |          |        |          |        |          |           |          |  9317.60 |
| 2000-03-16 |  97.16 |          |        |          |        |          |           |          |  9317.60 |
| 2000-03-17 |  97.80 |   LEX    |  97.05 |   PNL    |  97.80 |       96 |     92.43 |    71.88 |  9389.48 |
| 2000-03-20 |  97.30 |   LEX    |  97.76 |          |        |       96 |     91.88 |   -43.93 |  9345.55 |
| 2000-03-21 |  99.30 |          |        |   PNL    |  99.30 |       96 |     93.25 |   147.76 |  9537.24 |
| 2000-03-22 |  99.90 |   LEX    |  99.55 |   PNL    |  99.90 |       95 |     93.71 |    33.59 |  9570.83 |
| 2000-03-23 | 101.61 |   LEX    |  99.28 |   PNL    | 101.61 |       96 |     94.93 |   223.64 |  9794.46 |
| 2000-03-24 | 102.21 |   LEX    | 101.75 |   PNL    | 102.21 |       96 |     95.86 |    43.93 |  9838.39 |
| 2000-03-27 | 101.13 |   LEX    | 102.08 |          |        |       96 |     94.28 |   -91.85 |  9746.54 |
| 2000-03-28 | 100.54 |          |        |          |        |       96 |     94.28 |  -147.76 |  9690.63 |
| 2000-03-29 | 100.65 |          |        |          |        |       96 |     94.28 |  -137.77 |  9700.62 |
| 2000-03-30 |  98.96 |          |        |          |        |       96 |     94.28 |  -299.51 |  9538.89 |
| 2000-03-31 | 100.09 |          |        |          |        |       96 |     94.28 |  -191.69 |  9646.70 |
| 2000-04-03 | 100.67 |          |        |          |        |       96 |     94.28 |  -135.78 |  9702.62 |
| 2000-04-04 |  99.92 |          |        |          |        |       96 |     94.28 |  -207.66 |  9630.73 |
| 2000-04-05 |  99.30 |          |        |          |        |       96 |     94.28 |  -267.56 |  9570.83 |
| 2000-04-06 | 100.16 |          |        |          |        |       96 |     94.28 |  -184.69 |  9653.70 |
| 2000-04-07 | 100.79 |          |        |          |        |       96 |     94.28 |  -123.79 |  9714.60 |
| 2000-04-10 | 100.40 |          |        |          |        |       96 |     94.28 |  -161.73 |  9676.66 |
| 2000-04-11 | 100.11 |          |        |  EXPIRY  | 100.11 |       96 |     94.28 |  -189.69 |  9648.70 |
| 2000-04-12 |  97.36 |          |        |          |        |          |           |          |  9648.70 |
| 2000-04-13 |  96.01 |          |        |          |        |          |           |          |  9648.70 |
| 2000-04-14 |  90.52 |          |        |          |        |          |           |          |  9648.70 |
| 2000-04-17 |  93.68 |          |        |          |        |          |           |          |  9648.70 |
| 2000-04-18 |  96.16 |          |        |          |        |          |           |          |  9648.70 |
| 2000-04-19 |  95.26 |   LEX    |  96.18 |          |        |      100 |     86.25 |   -91.52 |  9557.18 |
| 2000-04-20 |  95.72 |          |        |          |        |      100 |     86.26 |   -45.75 |  9602.95 |
| 2000-04-24 |  94.68 |          |        |          |        |      100 |     86.27 |  -149.76 |  9498.94 |
| 2000-04-25 |  98.61 |          |        |   PNL    |  98.61 |      100 |     88.29 |   243.35 |  9892.05 |
