Date,Close,InSignal,Entry,ExSignal,Exit,Position,StopLevel,MTM,Equity
2000-01-03,96.5551,,,,,,,0.0,10000.0
2000-01-04,92.7792,,,,,,,0.0,10000.0
2000-01-05,92.9451,,,,,,,0.0,10000.0
2000-01-06,91.4514,,,,,,,0.0,10000.0
2000-01-07,96.7625,,,,,,,0.0,10000.0
2000-01-10,97.0945,,,,,,,0.0,10000.0
2000-01-11,95.9326,,,,,,,0.0,10000.0
2000-01-12,94.9783,,,,,,,0.0,10000.0
2000-01-13,96.2646,,,,,,,0.0,10000.0
2000-01-14,97.5717,,,,,,,0.0,10000.0
2000-01-18,96.804,LEX,96.4928,PNL,96.804,103.0,68.1404,32.0536,10032.0536
2000-01-19,97.5924,,,,,,,0.0,10032.0536
2000-01-20,96.0987,LEX,97.5717,,,102.0,68.3002,-150.2476,9881.8061
2000-01-21,95.8912,,,,,102.0,68.3002,-171.4126,9860.6411
2000-01-24,93.1734,,,,,102.0,68.3002,-448.6312,9583.4224
2000-01-25,94.2314,,,,,102.0,68.3002,-340.7091,9691.3445
2000-01-26,93.4846,,,,,102.0,68.3002,-416.8888,9615.1648
2000-01-27,93.1111,,,,,102.0,68.3002,-454.9817,9577.0719
2000-01-28,90.2066,,,,,102.0,68.3002,-751.2428,9280.8108
2000-01-31,92.6547,,,,,102.0,68.3002,-501.5345,9530.5191
2000-02-01,93.5676,,,,,102.0,68.3002,-408.4228,9623.6308
2000-02-02,93.6505,,,,,102.0,68.3002,-399.9599,9632.0937
2000-02-03,95.0613,,,,,102.0,68.3002,-256.0573,9775.9964
2000-02-04,94.6671,,,EXPIRY,94.6671,102.0,68.3002,-296.2657,9735.788
2000-02-07,94.5219,LEX,94.6464,,,102.0,66.3541,-12.697,9723.091
2000-02-08,95.8082,,,PNL,95.8082,102.0,67.1819,118.5056,9854.2936
2000-02-09,93.7958,LEX,95.912,,,102.0,67.1384,-215.8486,9638.445
2000-02-10,93.9825,,,,,102.0,67.1384,-196.8042,9657.4894
2000-02-11,92.0738,,,,,102.0,67.1384,-391.4957,9462.7979
2000-02-14,92.6132,,,,,102.0,67.1384,-336.4718,9517.8218
2000-02-15,93.6609,,,,,102.0,67.1384,-229.6053,9624.6883
2000-02-16,92.2812,,,,,102.0,67.1384,-370.3347,9483.9589
2000-02-17,91.8041,,,,,102.0,67.1384,-419.0061,9435.2875
2000-02-18,89.8332,,,,,102.0,67.1384,-620.0379,9234.2557
2000-02-22,89.6049,,,,,102.0,67.1384,-643.3184,9210.9752
2000-02-23,90.663,,,,,102.0,67.1384,-535.3922,9318.9014
2000-02-24,88.8373,,,,,102.0,67.1384,-721.6146,9132.679
2000-02-25,88.5157,,,EXPIRY,88.5157,102.0,67.1384,-754.4157,9099.8779
2000-02-28,90.3725,,,,,,,0.0,9099.8779
2000-02-29,91.2439,,,,,,,0.0,9099.8779
2000-03-01,91.9078,LEX,91.3684,PNL,91.9078,99.0,64.5969,53.402,9153.2798
2000-03-02,91.97,LEX,92.0738,,,99.0,64.655,-10.2696,9143.0102
2000-03-03,93.692,,,PNL,93.692,99.0,65.8604,160.2074,9313.4872
2000-03-06,92.7792,LEX,93.4845,,,99.0,65.6861,-69.8333,9243.6539
2000-03-07,90.9846,,,,,99.0,65.6861,-247.4958,9065.9915
2000-03-08,90.8705,,,,,99.0,65.6861,-258.7907,9054.6966
2000-03-09,93.526,,,PNL,93.526,99.0,65.6861,4.1088,9317.596
2000-03-10,93.0281,,,,,,,0.0,9317.596
2000-03-13,92.0116,,,,,,,0.0,9317.596
2000-03-14,90.7045,,,,,,,0.0,9317.596
2000-03-15,92.8207,,,,,,,0.0,9317.596
2000-03-16,97.1567,,,,,,,0.0,9317.596
