Date,Equity
2000-01-03,10000.0
2000-01-04,10000.0
2000-01-05,10000.0
2000-01-06,10000.0
2000-01-07,10000.0
2000-01-10,10000.0
2000-01-11,10000.0
2000-01-12,10000.0
2000-01-13,10000.0
2000-01-14,10000.0
2000-01-18,10032.0536
2000-01-19,10032.0536
2000-01-20,9881.8061
2000-01-21,9860.6411
2000-01-24,9583.4224
2000-01-25,9691.3445
2000-01-26,9615.1648
2000-01-27,9577.0719
2000-01-28,9280.8108
2000-01-31,9530.5191
2000-02-01,9623.6308
2000-02-02,9632.0937
2000-02-03,9775.9964
2000-02-04,9735.788
2000-02-07,9723.091
2000-02-08,9854.2936
2000-02-09,9638.445
2000-02-10,9657.4894
2000-02-11,9462.7979
2000-02-14,9517.8218
2000-02-15,9624.6883
2000-02-16,9483.9589
2000-02-17,9435.2875
2000-02-18,9234.2557
2000-02-22,9210.9752
2000-02-23,9318.9014
2000-02-24,9132.679
2000-02-25,9099.8779
2000-02-28,9099.8779
2000-02-29,9099.8779
2000-03-01,9153.2798
2000-03-02,9143.0102
2000-03-03,9313.4872
2000-03-06,9243.6539
2000-03-07,9065.9915
2000-03-08,9054.6966
2000-03-09,9317.596
2000-03-10,9317.596
2000-03-13,9317.596
2000-03-14,9317.596
2000-03-15,9317.596
2000-03-16,9317.596
2000-03-17,9389.4788
2000-03-20,9345.5504
2000-03-21,9537.2374
2000-03-22,9570.8285
2000-03-23,9794.4637
2000-03-24,9838.3921
2000-03-27,9746.5419
2000-03-28,9690.6324
2000-03-29,9700.6174
2000-03-30,9538.8862
2000-03-31,9646.7038
2000-04-03,9702.6171
2000-04-04,9630.7313
2000-04-05,9570.8312
2000-04-06,9653.6984
2000-04-07,9714.5979
2000-04-10,9676.6587
2000-04-11,9648.6996
2000-04-12,9648.6996
2000-04-13,9648.6996
2000-04-14,9648.6996
2000-04-17,9648.6996
2000-04-18,9648.6996
2000-04-19,9557.1822
2000-04-20,9602.9462
2000-04-24,9498.9442
2000-04-25,9892.0492
2000-04-26,9793.2523
2000-04-27,9761.0123
2000-04-28,9700.6953
2000-05-01,9831.7323
2000-05-02,9636.2163
2000-05-03,9411.5863
2000-05-04,9482.3013
2000-05-05,9596.6993
2000-05-08,9524.9383
2000-05-09,9449.0213
2000-05-10,9236.8673
2000-05-11,9446.9453
2000-05-12,9446.9453
