InDate,ExDate,Position,Duration,InSignal,Entry,ExSignal,Exit,DollarBase,Value,TradeRtn,PNL
2000-01-25,2000-01-25,107,0,LEX,93.2874,PNL,94.2314,10000.0,101.0056,0.0101,101.0056
2000-01-26,2000-02-02,107,5,LEX,93.609,PNL,93.6505,10101.0056,4.4394,0.0004,105.445
2000-02-14,2000-02-15,108,1,LEX,92.7999,PNL,93.6609,10105.445,92.9869,0.0092,198.4319
2000-02-17,2000-03-03,109,10,LEX,93.2356,PNL,93.692,10198.4319,49.7529,0.0049,248.1848
2000-03-08,2000-03-08,113,0,LEX,90.6008,PNL,90.8705,10248.1848,30.4769,0.003,278.6617
2000-03-09,2000-03-09,112,0,LEX,91.1194,PNL,93.526,10278.6617,269.5409,0.0262,548.2026
2000-04-13,2000-04-25,107,7,LEX,98.1525,PNL,98.61,10548.2026,48.9535,0.0046,597.1561
2000-05-04,2000-05-05,112,1,LEX,94.5125,PNL,95.5317,10597.1561,114.1486,0.0108,711.3047
2000-05-11,2000-05-11,114,0,LEX,93.2646,PNL,94.0342,10711.3047,87.732,0.0082,799.0367
2000-05-22,2000-05-30,114,5,LEX,94.0134,PNL,94.8454,10799.0367,94.8483,0.0088,893.8849
2000-06-13,2000-06-13,113,0,LEX,96.3845,PNL,98.2356,10893.8849,209.1797,0.0192,1103.0646
2000-06-26,2000-06-26,114,0,LEX,96.9867,PNL,97.56,11103.0646,65.3601,0.0059,1168.4246
2000-07-20,2000-07-20,112,0,LEX,99.4051,PNL,100.4892,11168.4246,121.421,0.0109,1289.8456
2000-07-24,2000-08-07,114,10,LEX,98.8214,PNL,98.8214,11289.8456,0.0041,0.0,1289.8497
2000-08-31,2000-08-31,112,0,LEX,100.7811,PNL,101.6359,11289.8497,95.7358,0.0085,1385.5855
2000-09-07,2000-09-07,113,0,LEX,100.2391,PNL,100.6352,11385.5855,44.7615,0.0039,1430.347
2000-09-11,2000-09-18,114,5,LEX,99.9055,STOP_OUT,96.7496,11430.347,-359.7648,-0.0315,1070.5822
2000-09-19,2000-09-19,114,0,LEX,97.0631,PNL,97.6274,11070.5822,64.3325,0.0058,1134.9147
2000-09-20,2000-10-05,114,11,LEX,97.4394,EXPIRY,96.4362,11134.9147,-114.364,-0.0103,1020.5507
2000-10-09,2000-10-12,116,3,LEX,94.5133,STOP_OUT,89.0373,11020.5507,-635.2174,-0.0576,385.3333
2000-10-26,2000-10-27,113,1,LEX,91.7125,PNL,93.1547,10385.3333,162.9697,0.0157,548.303
2000-11-09,2000-11-09,112,0,LEX,93.6354,PNL,93.6563,10548.303,2.3409,0.0002,550.6439
2000-11-13,2000-11-14,116,1,LEX,90.7093,PNL,93.0502,10550.6439,271.5407,0.0257,822.1846
2000-11-20,2000-11-27,119,4,LEX,90.7929,PNL,90.981,10822.1846,22.3856,0.0021,844.5702
2000-11-30,2000-12-04,122,2,LEX,88.6192,PNL,89.1835,10844.5702,68.8488,0.0063,913.419
2000-12-18,2000-12-18,123,0,LEX,88.5975,PNL,89.0378,10913.419,54.1523,0.005,967.5713
2000-12-19,2000-12-20,123,1,LEX,88.8701,STOP_OUT,84.6981,10967.5713,-513.1555,-0.0468,454.4158
2000-12-21,2000-12-21,123,0,LEX,84.5304,PNL,85.2851,10454.4158,92.8325,0.0089,547.2483
2001-01-02,2001-01-03,119,1,LEX,88.5556,PNL,90.5683,10547.2483,239.5058,0.0227,786.7541
2001-01-08,2001-01-08,123,0,LEX,87.13,PNL,87.3397,10786.7541,25.7868,0.0024,812.5408
2001-01-09,2001-01-10,122,1,LEX,87.9162,PNL,88.6395,10812.5408,88.2437,0.0082,900.7846
2001-01-11,2001-01-11,123,0,LEX,87.9477,PNL,88.7234,10900.7846,95.4112,0.0088,996.1957
2001-02-05,2001-02-05,121,0,LEX,90.4341,PNL,91.0982,10996.1957,80.3634,0.0073,1076.5592
