InDate,ExDate,Position,Duration,InSignal,Entry,ExSignal,Exit,DollarBase,Value,TradeRtn,PNL
2000-01-18,2000-01-18,103,0,LEX,96.4928,PNL,96.804,10000.0,32.0536,0.0032,32.0536
2000-01-20,2000-02-04,102,11,LEX,97.5717,EXPIRY,94.6671,10032.0536,-296.2657,-0.0295,-264.212
2000-02-07,2000-02-08,102,1,LEX,94.6464,PNL,95.8082,9735.788,118.5056,0.0122,-145.7064
2000-02-09,2000-02-25,102,11,LEX,95.912,EXPIRY,88.5157,9854.2936,-754.4157,-0.0766,-900.1221
2000-03-01,2000-03-01,99,0,LEX,91.3684,PNL,91.9078,9099.8779,53.402,0.0059,-846.7202
2000-03-02,2000-03-03,99,1,LEX,92.0738,PNL,93.692,9153.2798,160.2074,0.0175,-686.5128
2000-03-06,2000-03-09,99,3,LEX,93.4845,PNL,93.526,9313.4872,4.1088,0.0004,-682.404
2000-03-17,2000-03-17,96,0,LEX,97.05,PNL,97.7988,9317.596,71.8827,0.0077,-610.5212
2000-03-20,2000-03-21,96,1,LEX,97.7573,PNL,99.2964,9389.4788,147.7587,0.0157,-462.7626
2000-03-22,2000-03-22,95,0,LEX,99.546,PNL,99.8996,9537.2374,33.591,0.0035,-429.1715
2000-03-23,2000-03-23,96,0,LEX,99.2756,PNL,101.6051,9570.8285,223.6352,0.0234,-205.5363
2000-03-24,2000-03-24,96,0,LEX,101.7508,PNL,102.2083,9794.4637,43.9284,0.0045,-161.6079
2000-03-27,2000-04-11,96,11,LEX,102.0835,EXPIRY,100.1075,9838.3921,-189.6924,-0.0193,-351.3004
2000-04-19,2000-04-25,100,3,LEX,96.1765,PNL,98.61,9648.6996,243.3496,0.0252,-107.9508
2000-04-26,2000-05-11,100,11,LEX,98.4852,EXPIRY,94.0342,9892.0492,-445.1039,-0.045,-553.0547
2000-05-17,2000-06-02,97,11,LEX,96.9669,PNL,98.402,9446.9453,139.2125,0.0147,-413.8422
2000-06-05,2000-06-07,97,2,LEX,98.1524,PNL,98.1628,9586.1578,1.0123,0.0001,-412.8299
2000-06-14,2000-06-19,97,3,LEX,98.6724,PNL,99.0507,9587.1701,36.6881,0.0038,-376.1418
2000-07-10,2000-07-11,97,1,LEX,98.6546,PNL,98.8422,9623.8582,18.1974,0.0019,-357.9444
2000-07-13,2000-07-14,96,1,LEX,100.0618,PNL,100.9062,9642.0556,81.0617,0.0084,-276.8828
2000-07-17,2000-07-17,96,0,LEX,100.7289,PNL,100.7394,9723.1172,1.0004,0.0001,-275.8824
2000-08-03,2000-08-03,102,0,LEX,95.3188,PNL,97.1326,9724.1176,185.0086,0.019,-90.8738
2000-08-04,2000-08-04,101,0,LEX,97.6122,PNL,97.6539,9909.1262,4.2114,0.0004,-86.6624
2000-08-07,2000-08-07,101,0,LEX,97.8832,PNL,98.8214,9913.3376,94.756,0.0096,8.0935
2000-08-09,2000-08-14,100,3,LEX,99.4989,PNL,99.5927,10008.0935,9.3816,0.0009,17.4751
