+------------+--------+----------+--------+----------+--------+----------+-----------+----------+----------+
|    Date    |  Close | InSignal |  Entry | ExSignal |   Exit | Position | StopLevel |      MTM |   Equity |
+------------+--------+----------+--------+----------+--------+----------+-----------+----------+----------+
| 2000-01-03 |  96.56 |          |        |          |        |          |           |          | 10000.00 |
| 2000-01-04 |  92.78 |          |        |          |        |          |           |          | 10000.00 |
| 2000-01-05 |  92.95 |          |        |          |        |          |           |          | 10000.00 |
| 2000-01-06 |  91.45 |          |        |          |        |          |           |          | 10000.00 |
| 2000-01-07 |  96.76 |   LEX    |  93.15 |   PNL    |  96.76 |      107 |     67.73 |   386.26 | 10386.26 |
| 2000-01-10 |  97.09 |          |        |          |        |          |           |          | 10386.26 |
| 2000-01-11 |  95.93 |          |        |          |        |          |           |          | 10386.26 |
| 2000-01-12 |  94.98 |          |        |          |        |          |           |          | 10386.26 |
| 2000-01-13 |  96.26 |   LEX    |  95.91 |   PNL    |  96.26 |      108 |     67.73 |    38.09 | 10424.35 |
| 2000-01-14 |  97.57 |          |        |          |        |          |           |          | 10424.35 |
| 2000-01-18 |  96.80 |          |        |          |        |          |           |          | 10424.35 |
| 2000-01-19 |  97.59 |          |        |          |        |          |           |          | 10424.35 |
| 2000-01-20 |  96.10 |          |        |          |        |          |           |          | 10424.35 |
| 2000-01-21 |  95.89 |   LEX    |  96.60 |          |        |      107 |     67.62 |   -75.48 | 10348.88 |
| 2000-01-24 |  93.17 |          |        |          |        |      107 |     67.78 |  -366.28 | 10058.07 |
| 2000-01-25 |  94.23 |          |        |          |        |      107 |     67.78 |  -253.07 | 10171.28 |
| 2000-01-26 |  93.48 |          |        |          |        |      107 |     67.78 |  -332.99 | 10091.37 |
| 2000-01-27 |  93.11 |          |        |          |        |      107 |     67.78 |  -372.95 | 10051.41 |
| 2000-01-28 |  90.21 |          |        |          |        |      107 |     67.78 |  -683.73 |  9740.62 |
| 2000-01-31 |  92.65 |          |        |          |        |      107 |     67.78 |  -421.78 | 10002.57 |
| 2000-02-01 |  93.57 |          |        |          |        |      107 |     67.78 |  -324.10 | 10100.25 |
| 2000-02-02 |  93.65 |          |        |          |        |      107 |     67.78 |  -315.23 | 10109.13 |
| 2000-02-03 |  95.06 |          |        |          |        |      107 |     67.78 |  -164.27 | 10260.08 |
| 2000-02-04 |  94.67 |          |        |          |        |      107 |     67.78 |  -206.45 | 10217.90 |
| 2000-02-07 |  94.52 |          |        |  EXPIRY  |  94.52 |      107 |     67.78 |  -221.99 | 10202.36 |
| 2000-02-08 |  95.81 |          |        |          |        |          |           |          | 10202.36 |
| 2000-02-09 |  93.80 |          |        |          |        |          |           |          | 10202.36 |
| 2000-02-10 |  93.98 |   LEX    |  94.02 |          |        |      108 |     66.25 |    -4.48 | 10197.88 |
| 2000-02-11 |  92.07 |          |        |          |        |      108 |     66.25 |  -210.63 |  9991.74 |
| 2000-02-14 |  92.61 |          |        |          |        |      108 |     66.25 |  -152.36 | 10050.00 |
| 2000-02-15 |  93.66 |          |        |          |        |      108 |     66.25 |   -39.21 | 10163.15 |
| 2000-02-16 |  92.28 |          |        |          |        |      108 |     66.25 |  -188.22 | 10014.14 |
| 2000-02-17 |  91.80 |          |        |          |        |      108 |     66.25 |  -239.75 |  9962.61 |
| 2000-02-18 |  89.83 |          |        |          |        |      108 |     66.25 |  -452.61 |  9749.75 |
| 2000-02-22 |  89.60 |          |        |          |        |      108 |     66.25 |  -477.26 |  9725.10 |
| 2000-02-23 |  90.66 |          |        |          |        |      108 |     66.25 |  -362.99 |  9839.38 |
| 2000-02-24 |  88.84 |          |        |          |        |      108 |     66.25 |  -560.16 |  9642.20 |
| 2000-02-25 |  88.52 |          |        |          |        |      108 |     66.25 |  -594.89 |  9607.47 |
| 2000-02-28 |  90.37 |          |        |  EXPIRY  |  90.37 |      108 |     66.25 |  -394.36 |  9808.00 |
| 2000-02-29 |  91.24 |          |        |          |        |          |           |          |  9808.00 |
| 2000-03-01 |  91.91 |          |        |          |        |          |           |          |  9808.00 |
| 2000-03-02 |  91.97 |          |        |          |        |          |           |          |  9808.00 |
| 2000-03-03 |  93.69 |          |        |          |        |          |           |          |  9808.00 |
| 2000-03-06 |  92.78 |          |        |          |        |          |           |          |  9808.00 |
| 2000-03-07 |  90.98 |          |        |          |        |          |           |          |  9808.00 |
| 2000-03-08 |  90.87 |          |        |          |        |          |           |          |  9808.00 |
| 2000-03-09 |  93.53 |          |        |          |        |          |           |          |  9808.00 |
| 2000-03-10 |  93.03 |          |        |          |        |          |           |          |  9808.00 |
| 2000-03-13 |  92.01 |          |        |          |        |          |           |          |  9808.00 |
| 2000-03-14 |  90.70 |          |        |          |        |          |           |          |  9808.00 |
| 2000-03-15 |  92.82 |          |        |          |        |          |           |          |  9808.00 |
| 2000-03-16 |  97.16 |          |        |          |        |          |           |          |  9808.00 |
| 2000-03-17 |  97.80 |          |        |          |        |          |           |          |  9808.00 |
| 2000-03-20 |  97.30 |          |        |          |        |          |           |          |  9808.00 |
| 2000-03-21 |  99.30 |          |        |          |        |          |           |          |  9808.00 |
| 2000-03-22 |  99.90 |          |        |          |        |          |           |          |  9808.00 |
| 2000-03-23 | 101.61 |          |        |          |        |          |           |          |  9808.00 |
| 2000-03-24 | 102.21 |          |        |          |        |          |           |          |  9808.00 |
| 2000-03-27 | 101.13 |          |        |          |        |          |           |          |  9808.00 |
| 2000-03-28 | 100.54 |          |        |          |        |          |           |          |  9808.00 |
| 2000-03-29 | 100.65 |          |        |          |        |          |           |          |  9808.00 |
| 2000-03-30 |  98.96 |          |        |          |        |          |           |          |  9808.00 |
| 2000-03-31 | 100.09 |   LEX    |  99.59 |   PNL    | 100.09 |       98 |     92.39 |    48.92 |  9856.92 |
| 2000-04-03 | 100.67 |   LEX    |  99.92 |   PNL    | 100.67 |       98 |     91.41 |    73.38 |  9930.30 |
| 2000-04-04 |  99.92 |          |        |          |        |          |           |          |  9930.30 |
| 2000-04-05 |  99.30 |          |        |          |        |          |           |          |  9930.30 |
| 2000-04-06 | 100.16 |          |        |          |        |          |           |          |  9930.30 |
| 2000-04-07 | 100.79 |          |        |          |        |          |           |          |  9930.30 |
| 2000-04-10 | 100.40 |          |        |          |        |          |           |          |  9930.30 |
| 2000-04-11 | 100.11 |          |        |          |        |          |           |          |  9930.30 |
| 2000-04-12 |  97.36 |          |        |          |        |          |           |          |  9930.30 |
| 2000-04-13 |  96.01 |   LEX    |  98.15 |          |        |      101 |     88.42 |  -216.38 |  9713.93 |
| 2000-04-14 |  90.52 |          |        |          |        |      101 |     88.42 |  -770.97 |  9159.33 |
| 2000-04-17 |  93.68 |          |        |          |        |      101 |     88.42 |  -451.66 |  9478.64 |
| 2000-04-18 |  96.16 |          |        |          |        |      101 |     88.42 |  -201.67 |  9728.63 |
| 2000-04-19 |  95.26 |          |        |          |        |      101 |     88.42 |  -292.01 |  9638.30 |
| 2000-04-20 |  95.72 |          |        |          |        |      101 |     88.42 |  -245.79 |  9684.52 |
| 2000-04-24 |  94.68 |          |        |          |        |      101 |     88.42 |  -350.83 |  9579.48 |
| 2000-04-25 |  98.61 |          |        |   PNL    |  98.61 |      101 |     88.42 |    46.21 |  9976.51 |
| 2000-04-26 |  97.50 |          |        |          |        |          |           |          |  9976.51 |
| 2000-04-27 |  97.17 |          |        |          |        |          |           |          |  9976.51 |
| 2000-04-28 |  96.57 |          |        |          |        |          |           |          |  9976.51 |
| 2000-05-01 |  97.88 |          |        |          |        |          |           |          |  9976.51 |
| 2000-05-02 |  95.93 |          |        |          |        |          |           |          |  9976.51 |
| 2000-05-03 |  93.68 |          |        |          |        |          |           |          |  9976.51 |
| 2000-05-04 |  94.39 |   LEX    |  94.51 |          |        |      105 |     85.21 |   -13.10 |  9963.41 |
