+------------+--------+----------+--------+----------+--------+----------+-----------+----------+----------+
|    Date    |  Close | InSignal |  Entry | ExSignal |   Exit | Position | StopLevel |      MTM |   Equity |
+------------+--------+----------+--------+----------+--------+----------+-----------+----------+----------+
| 2000-01-03 |  96.56 |          |        |          |        |          |           |          | 10000.00 |
| 2000-01-04 |  92.78 |          |        |          |        |          |           |          | 10000.00 |
| 2000-01-05 |  92.95 |          |        |          |        |          |           |          | 10000.00 |
| 2000-01-06 |  91.45 |          |        |          |        |          |           |          | 10000.00 |
| 2000-01-07 |  96.76 |          |        |          |        |          |           |          | 10000.00 |
| 2000-01-10 |  97.09 |          |        |          |        |          |           |          | 10000.00 |
| 2000-01-11 |  95.93 |          |        |          |        |          |           |          | 10000.00 |
| 2000-01-12 |  94.98 |          |        |          |        |          |           |          | 10000.00 |
| 2000-01-13 |  96.26 |          |        |          |        |          |           |          | 10000.00 |
| 2000-01-14 |  97.57 |          |        |          |        |          |           |          | 10000.00 |
| 2000-01-18 |  96.80 |          |        |          |        |          |           |          | 10000.00 |
| 2000-01-19 |  97.59 |          |        |          |        |          |           |          | 10000.00 |
| 2000-01-20 |  96.10 |          |        |          |        |          |           |          | 10000.00 |
| 2000-01-21 |  95.89 |          |        |          |        |          |           |          | 10000.00 |
| 2000-01-24 |  93.17 |          |        |          |        |          |           |          | 10000.00 |
| 2000-01-25 |  94.23 |   LEX    |  93.29 |   PNL    |  94.23 |      107 |     65.96 |   101.01 | 10101.01 |
| 2000-01-26 |  93.48 |   LEX    |  93.61 |          |        |      107 |     65.78 |   -13.32 | 10087.69 |
| 2000-01-27 |  93.11 |          |        |          |        |      107 |     66.09 |   -53.28 | 10047.73 |
| 2000-01-28 |  90.21 |          |        |          |        |      107 |     66.09 |  -364.06 |  9736.94 |
| 2000-01-31 |  92.65 |          |        |          |        |      107 |     66.09 |  -102.11 |  9998.89 |
| 2000-02-01 |  93.57 |          |        |          |        |      107 |     66.09 |    -4.44 | 10096.57 |
| 2000-02-02 |  93.65 |          |        |   PNL    |  93.65 |      107 |     66.11 |     4.44 | 10105.44 |
| 2000-02-03 |  95.06 |          |        |          |        |          |           |          | 10105.44 |
| 2000-02-04 |  94.67 |          |        |          |        |          |           |          | 10105.44 |
| 2000-02-07 |  94.52 |          |        |          |        |          |           |          | 10105.44 |
| 2000-02-08 |  95.81 |          |        |          |        |          |           |          | 10105.44 |
| 2000-02-09 |  93.80 |          |        |          |        |          |           |          | 10105.44 |
| 2000-02-10 |  93.98 |          |        |          |        |          |           |          | 10105.44 |
| 2000-02-11 |  92.07 |          |        |          |        |          |           |          | 10105.44 |
| 2000-02-14 |  92.61 |   LEX    |  92.80 |          |        |      108 |     64.96 |   -20.17 | 10085.28 |
| 2000-02-15 |  93.66 |          |        |   PNL    |  93.66 |      108 |     65.63 |    92.99 | 10198.43 |
| 2000-02-16 |  92.28 |          |        |          |        |          |           |          | 10198.43 |
| 2000-02-17 |  91.80 |   LEX    |  93.24 |          |        |      109 |     65.26 |  -156.04 | 10042.40 |
| 2000-02-18 |  89.83 |          |        |          |        |      109 |     65.26 |  -370.86 |  9827.57 |
| 2000-02-22 |  89.60 |          |        |          |        |      109 |     65.26 |  -395.74 |  9802.69 |
| 2000-02-23 |  90.66 |          |        |          |        |      109 |     65.26 |  -280.41 |  9918.02 |
| 2000-02-24 |  88.84 |          |        |          |        |      109 |     65.26 |  -479.41 |  9719.02 |
| 2000-02-25 |  88.52 |          |        |          |        |      109 |     65.26 |  -514.46 |  9683.97 |
| 2000-02-28 |  90.37 |          |        |          |        |      109 |     65.26 |  -312.07 |  9886.36 |
| 2000-02-29 |  91.24 |          |        |          |        |      109 |     65.26 |  -217.09 |  9981.34 |
| 2000-03-01 |  91.91 |          |        |          |        |      109 |     65.26 |  -144.72 | 10053.71 |
| 2000-03-02 |  91.97 |          |        |          |        |      109 |     65.26 |  -137.94 | 10060.49 |
| 2000-03-03 |  93.69 |          |        |   PNL    |  93.69 |      109 |     65.86 |    49.75 | 10248.18 |
| 2000-03-06 |  92.78 |          |        |          |        |          |           |          | 10248.18 |
| 2000-03-07 |  90.98 |          |        |          |        |          |           |          | 10248.18 |
| 2000-03-08 |  90.87 |   LEX    |  90.60 |   PNL    |  90.87 |      113 |     64.06 |    30.48 | 10278.66 |
| 2000-03-09 |  93.53 |   LEX    |  91.12 |   PNL    |  93.53 |      112 |     65.47 |   269.54 | 10548.20 |
| 2000-03-10 |  93.03 |          |        |          |        |          |           |          | 10548.20 |
| 2000-03-13 |  92.01 |          |        |          |        |          |           |          | 10548.20 |
| 2000-03-14 |  90.70 |          |        |          |        |          |           |          | 10548.20 |
| 2000-03-15 |  92.82 |          |        |          |        |          |           |          | 10548.20 |
| 2000-03-16 |  97.16 |          |        |          |        |          |           |          | 10548.20 |
| 2000-03-17 |  97.80 |          |        |          |        |          |           |          | 10548.20 |
| 2000-03-20 |  97.30 |          |        |          |        |          |           |          | 10548.20 |
| 2000-03-21 |  99.30 |          |        |          |        |          |           |          | 10548.20 |
| 2000-03-22 |  99.90 |          |        |          |        |          |           |          | 10548.20 |
| 2000-03-23 | 101.61 |          |        |          |        |          |           |          | 10548.20 |
| 2000-03-24 | 102.21 |          |        |          |        |          |           |          | 10548.20 |
| 2000-03-27 | 101.13 |          |        |          |        |          |           |          | 10548.20 |
| 2000-03-28 | 100.54 |          |        |          |        |          |           |          | 10548.20 |
| 2000-03-29 | 100.65 |          |        |          |        |          |           |          | 10548.20 |
| 2000-03-30 |  98.96 |          |        |          |        |          |           |          | 10548.20 |
| 2000-03-31 | 100.09 |          |        |          |        |          |           |          | 10548.20 |
| 2000-04-03 | 100.67 |          |        |          |        |          |           |          | 10548.20 |
| 2000-04-04 |  99.92 |          |        |          |        |          |           |          | 10548.20 |
| 2000-04-05 |  99.30 |          |        |          |        |          |           |          | 10548.20 |
| 2000-04-06 | 100.16 |          |        |          |        |          |           |          | 10548.20 |
| 2000-04-07 | 100.79 |          |        |          |        |          |           |          | 10548.20 |
| 2000-04-10 | 100.40 |          |        |          |        |          |           |          | 10548.20 |
| 2000-04-11 | 100.11 |          |        |          |        |          |           |          | 10548.20 |
| 2000-04-12 |  97.36 |          |        |          |        |          |           |          | 10548.20 |
| 2000-04-13 |  96.01 |   LEX    |  98.15 |          |        |      107 |     88.42 |  -229.23 | 10318.97 |
| 2000-04-14 |  90.52 |          |        |          |        |      107 |     88.42 |  -816.77 |  9731.43 |
| 2000-04-17 |  93.68 |          |        |          |        |      107 |     88.42 |  -478.49 | 10069.71 |
| 2000-04-18 |  96.16 |          |        |          |        |      107 |     88.42 |  -213.65 | 10334.55 |
| 2000-04-19 |  95.26 |          |        |          |        |      107 |     88.42 |  -309.35 | 10238.85 |
| 2000-04-20 |  95.72 |          |        |          |        |      107 |     88.42 |  -260.39 | 10287.82 |
| 2000-04-24 |  94.68 |          |        |          |        |      107 |     88.42 |  -371.67 | 10176.53 |
| 2000-04-25 |  98.61 |          |        |   PNL    |  98.61 |      107 |     88.42 |    48.95 | 10597.16 |
| 2000-04-26 |  97.50 |          |        |          |        |          |           |          | 10597.16 |
| 2000-04-27 |  97.17 |          |        |          |        |          |           |          | 10597.16 |
| 2000-04-28 |  96.57 |          |        |          |        |          |           |          | 10597.16 |
| 2000-05-01 |  97.88 |          |        |          |        |          |           |          | 10597.16 |
| 2000-05-02 |  95.93 |          |        |          |        |          |           |          | 10597.16 |
| 2000-05-03 |  93.68 |          |        |          |        |          |           |          | 10597.16 |
| 2000-05-04 |  94.39 |   LEX    |  94.51 |          |        |      112 |     85.21 |   -13.98 | 10583.18 |
| 2000-05-05 |  95.53 |          |        |   PNL    |  95.53 |      112 |     86.66 |   114.15 | 10711.30 |
| 2000-05-08 |  94.81 |          |        |          |        |          |           |          | 10711.30 |
