Date,Equity
2000-01-03,10000.0
2000-01-04,10000.0
2000-01-05,10004.4398
2000-01-06,9871.2461
2000-01-07,10439.5359
2000-01-10,10439.5359
2000-01-11,10439.5359
2000-01-12,10329.7444
2000-01-13,10468.6627
2000-01-14,10468.6627
2000-01-18,10468.6627
2000-01-19,10468.6627
2000-01-20,10468.6627
2000-01-21,10468.6627
2000-01-24,10087.7535
2000-01-25,10202.024
2000-01-26,10121.3631
2000-01-27,10081.0295
2000-01-28,9767.3413
2000-01-31,10031.7383
2000-02-01,10130.3271
2000-02-02,10139.2879
2000-02-03,10291.6554
2000-02-04,10249.0818
2000-02-07,10233.3959
2000-02-08,10372.3163
2000-02-09,10372.3163
2000-02-10,10367.752
2000-02-11,10157.7906
2000-02-14,10217.1301
2000-02-15,10332.3782
2000-02-16,10180.6112
2000-02-17,10128.1225
2000-02-18,9911.3235
2000-02-22,9886.2171
2000-02-23,10002.6081
2000-02-24,9801.78
2000-02-25,9766.4062
2000-02-28,9970.6542
2000-02-29,9970.6542
2000-03-01,9970.6542
2000-03-02,9970.6542
2000-03-03,9970.6542
2000-03-06,9970.6542
2000-03-07,9970.6542
2000-03-08,10000.3219
2000-03-09,10262.643
2000-03-10,10262.643
2000-03-13,10262.643
2000-03-14,10262.643
2000-03-15,10262.643
2000-03-16,10262.643
2000-03-17,10262.643
2000-03-20,10262.643
2000-03-21,10262.643
2000-03-22,10262.643
2000-03-23,10262.643
2000-03-24,10262.643
2000-03-27,10262.643
2000-03-28,10262.643
2000-03-29,10239.5349
2000-03-30,10069.3802
2000-03-31,10182.8133
2000-04-03,10241.6387
2000-04-04,10166.0089
2000-04-05,10102.9889
2000-04-06,10190.1721
2000-04-07,10254.2435
2000-04-10,10214.3283
2000-04-11,10184.9131
2000-04-12,9907.6216
2000-04-13,9771.0757
2000-04-14,9771.0757
2000-04-17,10170.9238
2000-04-18,10170.9238
2000-04-19,10170.9238
2000-04-20,10170.9238
2000-04-24,10170.9238
2000-04-25,10170.9238
2000-04-26,10170.9238
2000-04-27,10170.9238
2000-04-28,10170.9238
2000-05-01,10170.9238
2000-05-02,10170.9238
2000-05-03,9941.6309
2000-05-04,10016.5888
2000-05-05,10137.8507
2000-05-08,10061.784
2000-05-09,9981.312
2000-05-10,9756.4288
2000-05-11,9979.1115
2000-05-12,10087.1403
2000-05-15,10261.3153
