Date,Close,InSignal,Entry,ExSignal,Exit,Position,StopLevel,MTM,Equity
2000-01-03,96.5551,,,,,,,0.0,10000.0
2000-01-04,92.7792,,,,,,,0.0,10000.0
2000-01-05,92.9451,LEX,92.9036,PNL,92.9451,107.0,65.7732,4.4398,10004.4398
2000-01-06,91.4514,LEX,92.6962,,,107.0,65.7587,-133.1937,9871.2461
2000-01-07,96.7625,,,PNL,96.7625,107.0,67.7338,435.0961,10439.5359
2000-01-10,97.0945,,,,,,,0.0,10439.5359
2000-01-11,95.9326,,,,,,,0.0,10439.5359
2000-01-12,94.9783,LEX,95.9949,,,108.0,67.1964,-109.7915,10329.7444
2000-01-13,96.2646,,,PNL,96.2646,108.0,67.7338,29.1268,10468.6627
2000-01-14,97.5717,,,,,,,0.0,10468.6627
2000-01-18,96.804,,,,,,,0.0,10468.6627
2000-01-19,97.5924,,,,,,,0.0,10468.6627
2000-01-20,96.0987,,,,,,,0.0,10468.6627
2000-01-21,95.8912,,,,,,,0.0,10468.6627
2000-01-24,93.1734,LEX,96.7003,,,108.0,67.7773,-380.9091,10087.7535
2000-01-25,94.2314,,,,,108.0,67.7773,-266.6386,10202.024
2000-01-26,93.4846,,,,,108.0,67.7773,-347.2995,10121.3631
2000-01-27,93.1111,,,,,108.0,67.7773,-387.6332,10081.0295
2000-01-28,90.2066,,,,,108.0,67.7773,-701.3214,9767.3413
2000-01-31,92.6547,,,,,108.0,67.7773,-436.9244,10031.7383
2000-02-01,93.5676,,,,,108.0,67.7773,-338.3355,10130.3271
2000-02-02,93.6505,,,,,108.0,67.7773,-329.3748,10139.2879
2000-02-03,95.0613,,,,,108.0,67.7773,-177.0073,10291.6554
2000-02-04,94.6671,,,,,108.0,67.7773,-219.5809,10249.0818
2000-02-07,94.5219,,,,,108.0,67.7773,-235.2668,10233.3959
2000-02-08,95.8082,,,EXPIRY,95.8082,108.0,67.7773,-96.3464,10372.3163
2000-02-09,93.7958,,,,,,,0.0,10372.3163
2000-02-10,93.9825,LEX,94.024,,,110.0,66.2525,-4.5643,10367.752
2000-02-11,92.0738,,,,,110.0,66.2525,-214.5257,10157.7906
2000-02-14,92.6132,,,,,110.0,66.2525,-155.1862,10217.1301
2000-02-15,93.6609,,,,,110.0,66.2525,-39.9381,10332.3782
2000-02-16,92.2812,,,,,110.0,66.2525,-191.7051,10180.6112
2000-02-17,91.8041,,,,,110.0,66.2525,-244.1938,10128.1225
2000-02-18,89.8332,,,,,110.0,66.2525,-460.9928,9911.3235
2000-02-22,89.6049,,,,,110.0,66.2525,-486.0992,9886.2171
2000-02-23,90.663,,,,,110.0,66.2525,-369.7082,10002.6081
2000-02-24,88.8373,,,,,110.0,66.2525,-570.5363,9801.78
2000-02-25,88.5157,,,,,110.0,66.2525,-605.9101,9766.4062
2000-02-28,90.3725,,,EXPIRY,90.3725,110.0,66.2525,-401.6621,9970.6542
2000-02-29,91.2439,,,,,,,0.0,9970.6542
2000-03-01,91.9078,,,,,,,0.0,9970.6542
2000-03-02,91.97,,,,,,,0.0,9970.6542
2000-03-03,93.692,,,,,,,0.0,9970.6542
2000-03-06,92.7792,,,,,,,0.0,9970.6542
2000-03-07,90.9846,,,,,,,0.0,9970.6542
2000-03-08,90.8705,LEX,90.6008,PNL,90.8705,110.0,64.0596,29.6678,10000.3219
2000-03-09,93.526,LEX,91.1194,PNL,93.526,109.0,65.4682,262.3211,10262.643
2000-03-10,93.0281,,,,,,,0.0,10262.643
2000-03-13,92.0116,,,,,,,0.0,10262.643
2000-03-14,90.7045,,,,,,,0.0,10262.643
2000-03-15,92.8207,,,,,,,0.0,10262.643
2000-03-16,97.1567,,,,,,,0.0,10262.643
2000-03-17,97.7988,,,,,,,0.0,10262.643
2000-03-20,97.2997,,,,,,,0.0,10262.643
