InDate,ExDate,Position,Duration,InSignal,Entry,ExSignal,Exit,DollarBase,Value,TradeRtn,PNL
2000-01-05,2000-01-05,107,0,LEX,92.9036,PNL,92.9451,10000.0,4.4398,0.0004,4.4398
2000-01-06,2000-01-07,107,1,LEX,92.6962,PNL,96.7625,10004.4398,435.0961,0.0435,439.5359
2000-01-12,2000-01-13,108,1,LEX,95.9949,PNL,96.2646,10439.5359,29.1268,0.0028,468.6627
2000-01-24,2000-02-08,108,11,LEX,96.7003,EXPIRY,95.8082,10468.6627,-96.3464,-0.0092,372.3163
2000-02-10,2000-02-28,110,11,LEX,94.024,EXPIRY,90.3725,10372.3163,-401.6621,-0.0387,-29.3458
2000-03-08,2000-03-08,110,0,LEX,90.6008,PNL,90.8705,9970.6542,29.6678,0.003,0.3219
2000-03-09,2000-03-09,109,0,LEX,91.1194,PNL,93.526,10000.3219,262.3211,0.0262,262.643
2000-03-29,2000-04-13,101,11,LEX,100.8771,EXPIRY,96.0101,10262.643,-491.5674,-0.0479,-228.9243
2000-04-17,2000-04-17,108,0,LEX,89.9783,PNL,93.6806,9771.0757,399.8481,0.0409,170.9238
2000-05-03,2000-05-15,106,8,LEX,95.8437,PNL,96.6965,10170.9238,90.3915,0.0089,261.3153
2000-05-22,2000-05-30,109,5,LEX,94.0134,PNL,94.8454,10261.3153,90.6882,0.0088,352.0035
2000-06-07,2000-06-07,106,0,LEX,97.5909,PNL,98.1628,10352.0035,60.6306,0.0059,412.6342
2000-06-12,2000-06-13,106,1,LEX,97.8196,PNL,98.2356,10412.6342,44.0938,0.0042,456.728
2000-06-26,2000-06-26,107,0,LEX,96.9867,PNL,97.56,10456.728,61.3467,0.0059,518.0747
2000-07-06,2000-07-06,108,0,LEX,96.6948,PNL,97.2368,10518.0747,58.5423,0.0056,576.6169
2000-07-19,2000-07-20,106,1,LEX,99.7179,PNL,100.4892,10576.6169,81.7585,0.0077,658.3754
2000-07-24,2000-08-07,107,10,LEX,98.8214,PNL,98.8214,10658.3754,0.0039,0.0,658.3793
2000-08-31,2000-08-31,105,0,LEX,100.7811,PNL,101.6359,10658.3793,89.7523,0.0084,748.1316
2000-09-07,2000-09-07,107,0,LEX,100.2391,PNL,100.6352,10748.1316,42.3848,0.0039,790.5164
2000-09-11,2000-09-18,108,5,LEX,99.9055,STOP_OUT,96.7496,10790.5164,-340.8298,-0.0316,449.6865
2000-09-27,2000-09-28,108,1,LEX,96.0181,PNL,96.9795,10449.6865,103.8344,0.0099,553.521
2000-10-02,2000-10-10,109,6,LEX,96.4988,STOP_OUT,92.0888,10553.521,-480.6923,-0.0455,72.8287
2000-10-11,2000-10-16,109,3,LEX,92.047,PNL,92.4231,10072.8287,40.9996,0.0041,113.8283
2000-10-18,2000-10-18,114,0,LEX,88.7028,PNL,89.7897,10113.8283,123.8997,0.0123,237.728
2000-10-19,2000-10-19,111,0,LEX,91.5244,PNL,93.1756,10237.728,183.2787,0.0179,421.0068
2000-10-26,2000-10-27,113,1,LEX,91.7125,PNL,93.1547,10421.0068,162.9697,0.0156,583.9764
2000-11-09,2000-11-09,113,0,LEX,93.6354,PNL,93.6563,10583.9764,2.3618,0.0002,586.3382
2000-11-13,2000-11-14,116,1,LEX,90.7093,PNL,93.0502,10586.3382,271.5407,0.0257,857.8789
2000-11-29,2000-12-05,120,4,LEX,89.8733,PNL,92.1096,10857.8789,268.3653,0.0247,1126.2442
2000-12-14,2000-12-20,122,4,LEX,90.8765,STOP_OUT,84.6981,11126.2442,-753.7655,-0.0677,372.4787
2000-12-21,2000-12-21,122,0,LEX,84.5304,PNL,85.2851,10372.4787,92.0777,0.0089,464.5564
2000-12-26,2000-12-26,119,0,LEX,87.7799,PNL,88.7862,10464.5564,119.7513,0.0114,584.3078
2001-02-05,2001-02-05,117,0,LEX,90.4341,PNL,91.0982,10584.3078,77.7068,0.0073,662.0145
2001-02-08,2001-02-20,117,7,LEX,90.4341,STOP_OUT,86.1338,10662.0145,-503.1353,-0.0472,158.8793
2001-02-22,2001-02-26,119,2,LEX,84.7652,PNL,85.6172,10158.8793,101.3912,0.01,260.2705
2001-03-01,2001-03-01,123,0,LEX,83.2221,PNL,83.5911,10260.2705,45.3847,0.0044,305.6552
2001-03-05,2001-03-05,123,0,LEX,83.2892,PNL,83.685,10305.6552,48.6854,0.0047,354.3406
2001-03-12,2001-03-22,126,8,LEX,82.075,STOP_OUT,74.7484,10354.3406,-923.1468,-0.0892,-568.8062
2001-03-26,2001-03-26,121,0,LEX,77.8293,PNL,77.9908,9431.1938,19.5347,0.0021,-549.2715
2001-04-04,2001-04-04,127,0,LEX,74.3785,PNL,74.5668,9450.7285,23.9206,0.0025,-525.3509
2001-04-05,2001-04-05,124,0,LEX,76.2149,PNL,77.3921,9474.6491,145.9721,0.0154,-379.3788
2001-04-09,2001-04-09,125,0,LEX,76.6858,PNL,77.0625,9620.6212,47.0878,0.0049,-332.2911
2001-04-25,2001-04-25,118,0,LEX,81.6771,PNL,82.8543,9667.7089,138.9089,0.0144,-193.3822
2001-05-09,2001-05-09,116,0,LEX,84.2534,PNL,84.5225,9806.6178,31.2125,0.0032,-162.1697
2001-05-10,2001-05-16,114,4,LEX,85.6055,PNL,86.7424,9837.8303,129.6014,0.0132,-32.5684
2001-05-29,2001-06-05,115,5,LEX,86.2513,PNL,86.6415,9967.4316,44.871,0.0045,12.3026
2001-06-14,2001-06-29,119,11,LEX,83.5337,EXPIRY,82.7054,10012.3026,-98.5602,-0.0098,-86.2576
2001-07-09,2001-07-09,122,0,LEX,80.6074,PNL,80.7491,9913.7424,17.2831,0.0017,-68.9745
2001-07-11,2001-07-11,124,0,LEX,79.6697,PNL,79.8586,9931.0255,23.422,0.0024,-45.5525
2001-07-12,2001-07-12,123,0,LEX,80.6141,PNL,81.7542,9954.4475,140.2281,0.0141,94.6756
2001-07-25,2001-07-25,126,0,LEX,79.5483,PNL,80.3443,10094.6756,100.2988,0.0099,194.9744
2001-08-09,2001-08-09,127,0,LEX,80.0745,PNL,80.1959,10194.9744,15.4213,0.0015,210.3957
2001-08-13,2001-08-28,126,11,LEX,80.6816,EXPIRY,78.6443,10210.3957,-256.7032,-0.0251,-46.3075
2001-08-29,2001-09-06,125,5,LEX,79.0154,STOP_OUT,74.7249,9953.6925,-536.3033,-0.0539,-582.6108
2001-09-10,2001-09-10,129,0,LEX,72.6539,PNL,74.2392,9417.3892,204.5035,0.0217,-378.1073
2001-09-24,2001-09-24,142,0,LEX,67.5231,PNL,68.1867,9621.8927,94.229,0.0098,-283.8784
2001-10-18,2001-10-22,133,2,LEX,73.0078,PNL,74.1251,9716.1216,148.5981,0.0153,-135.2802
2001-10-31,2001-11-01,136,1,LEX,72.3848,PNL,73.475,9864.7198,148.2646,0.015,12.9844
2001-11-29,2001-11-29,130,0,LEX,76.9622,PNL,77.7816,10012.9844,106.5121,0.0106,119.4964
2001-12-03,2001-12-04,131,1,LEX,76.9554,PNL,78.0659,10119.4964,145.4748,0.0144,264.9712
2001-12-12,2001-12-18,132,4,LEX,77.5649,PNL,77.8561,10264.9712,38.4365,0.0037,303.4077
2002-01-09,2002-01-16,129,5,LEX,79.2789,STOP_OUT,76.6562,10303.4077,-338.3329,-0.0328,-34.9252
2002-01-17,2002-01-28,128,6,LEX,77.2949,PNL,77.3628,9965.0748,8.6975,0.0009,-26.2277
2002-01-30,2002-01-30,132,0,LEX,75.0051,PNL,76.0107,9973.7723,132.7385,0.0133,106.5108
