Date,Equity
2000-01-03,10000.0
2000-01-04,10000.0
2000-01-05,10000.0
2000-01-06,10000.0
2000-01-07,10000.0
2000-01-10,10000.0
2000-01-11,10000.0
2000-01-12,10000.0
2000-01-13,10000.0
2000-01-14,10000.0
2000-01-18,10000.0
2000-01-19,10000.0
2000-01-20,10000.0
2000-01-21,10000.0
2000-01-24,10000.0
2000-01-25,10101.0056
2000-01-26,10101.0056
2000-01-27,9987.7909
2000-01-28,9677.0073
2000-01-31,9938.9561
2000-02-01,10036.6322
2000-02-02,10045.5099
2000-02-03,10196.4666
2000-02-04,10196.4666
2000-02-07,10196.4666
2000-02-08,10196.4666
2000-02-09,10196.4666
2000-02-10,10196.4666
2000-02-11,10196.4666
2000-02-14,10176.1141
2000-02-15,10290.3145
2000-02-16,10290.3145
2000-02-17,10290.3145
2000-02-18,10290.3145
2000-02-22,10273.7586
2000-02-23,10394.382
2000-02-24,10394.382
2000-02-25,10394.382
2000-02-28,10394.382
2000-02-29,10394.382
2000-03-01,10394.382
2000-03-02,10394.382
2000-03-03,10394.382
2000-03-06,10394.382
2000-03-07,10394.382
2000-03-08,10394.382
2000-03-09,10668.7362
2000-03-10,10668.7362
2000-03-13,10668.7362
2000-03-14,10668.7362
2000-03-15,10896.9082
2000-03-16,10896.9082
2000-03-17,10896.9082
2000-03-20,10896.9082
2000-03-21,10896.9082
2000-03-22,10896.9082
2000-03-23,10896.9082
2000-03-24,10896.9082
2000-03-27,10896.9082
2000-03-28,10896.9082
2000-03-29,10896.9082
2000-03-30,10896.9082
2000-03-31,10951.3195
2000-04-03,10951.3195
2000-04-04,10951.3195
2000-04-05,10951.3195
2000-04-06,10951.3195
2000-04-07,10951.3195
2000-04-10,10951.3195
2000-04-11,10951.3195
2000-04-12,10951.3195
2000-04-13,10713.5197
2000-04-14,10104.012
2000-04-17,10454.9407
2000-04-18,10729.6791
2000-04-19,10630.4007
2000-04-20,10681.1987
2000-04-24,10565.7565
2000-04-25,11002.103
2000-04-26,11002.103
2000-04-27,11002.103
2000-04-28,11002.103
2000-05-01,11039.3756
2000-05-02,11039.3756
2000-05-03,11039.3756
2000-05-04,11024.8992
2000-05-05,11157.6009
2000-05-08,11157.6009
2000-05-09,11157.6009
2000-05-10,11157.6009
2000-05-11,11249.1807
2000-05-12,11249.1807
2000-05-15,11249.1807
