InDate,ExDate,Position,Duration,InSignal,Entry,ExSignal,Exit,DollarBase,Value,TradeRtn,PNL
2000-01-25,2000-01-25,107,0,RTN3_-0.02,93.2874,PNL,94.2314,10000.0,101.0056,0.0101,101.0056
2000-01-27,2000-02-03,107,5,RTN3_-0.02,94.1692,PNL,95.0613,10101.0056,95.461,0.0095,196.4666
2000-02-14,2000-02-15,109,1,RTN3_-0.02,92.7999,PNL,93.6609,10196.4666,93.8479,0.0092,290.3145
2000-02-22,2000-02-23,114,1,RTN3_-0.02,89.7501,PNL,90.663,10290.3145,104.0675,0.0101,394.382
2000-03-09,2000-03-09,114,0,RTN3_-0.02,91.1194,PNL,93.526,10394.382,274.3541,0.0264,668.7362
2000-03-15,2000-03-15,117,0,RTN3_-0.02,90.8705,PNL,92.8207,10668.7362,228.172,0.0214,896.9082
2000-03-31,2000-03-31,109,0,RTN3_-0.02,99.5876,PNL,100.0868,10896.9082,54.4113,0.005,951.3195
2000-04-13,2000-04-25,111,7,RTN3_-0.02,98.1525,PNL,98.61,10951.3195,50.7835,0.0046,1002.103
2000-05-01,2000-05-01,112,0,RTN3_-0.02,97.5493,PNL,97.8821,11002.103,37.2726,0.0034,1039.3756
2000-05-04,2000-05-05,116,1,RTN3_-0.02,94.5125,PNL,95.5317,11039.3756,118.2253,0.0107,1157.6009
2000-05-11,2000-05-11,119,0,RTN3_-0.02,93.2646,PNL,94.0342,11157.6009,91.5799,0.0082,1249.1807
2000-05-22,2000-05-30,119,5,RTN3_-0.02,94.0134,PNL,94.8454,11249.1807,99.0083,0.0088,1348.189
2000-06-26,2000-06-26,117,0,RTN3_-0.02,96.9867,PNL,97.56,11348.189,67.0801,0.0059,1415.2691
2000-07-26,2000-08-07,116,8,RTN3_-0.02,98.05,PNL,98.8214,11415.2691,89.4831,0.0078,1504.7522
2000-09-19,2000-09-19,118,0,RTN3_-0.02,97.0631,PNL,97.6274,11504.7522,66.5898,0.0058,1571.342
2000-09-20,2000-10-05,118,11,RTN3_-0.02,97.4394,EXPIRY,96.4362,11571.342,-118.3767,-0.0102,1452.9652
2000-10-10,2000-10-23,122,9,RTN3_-0.02,93.6982,PNL,93.9908,11452.9652,35.6961,0.0031,1488.6613
2000-10-26,2000-10-27,125,1,RTN3_-0.02,91.7125,PNL,93.1547,11488.6613,180.2762,0.0157,1668.9375
2000-11-10,2000-11-14,125,2,RTN3_-0.02,92.9666,PNL,93.0502,11668.9375,10.4465,0.0009,1679.384
2000-11-21,2000-11-21,129,0,RTN3_-0.02,90.2077,PNL,90.5422,11679.384,43.1392,0.0037,1722.5232
2000-11-24,2000-11-24,131,0,RTN3_-0.02,89.3717,PNL,90.1868,11722.5232,106.782,0.0091,1829.3052
2000-12-01,2000-12-04,132,1,RTN3_-0.02,89.079,PNL,89.1835,11829.3052,13.7935,0.0012,1843.0987
2000-12-11,2000-12-11,128,0,RTN3_-0.02,91.8797,PNL,92.7158,11843.0987,107.0119,0.009,1950.1106
2000-12-15,2000-12-20,133,3,RTN3_-0.02,89.3103,STOP_OUT,84.6981,11950.1106,-613.426,-0.0513,1336.6846
2000-12-21,2000-12-21,134,0,RTN3_-0.02,84.5304,PNL,85.2851,11336.6846,101.1346,0.0089,1437.8191
2000-12-22,2000-12-22,132,0,RTN3_-0.02,86.543,PNL,87.8428,11437.8191,171.5765,0.015,1609.3957
