+------------+--------+----------+--------+----------+--------+----------+-----------+----------+----------+
|    Date    |  Close | InSignal |  Entry | ExSignal |   Exit | Position | StopLevel |      MTM |   Equity |
+------------+--------+----------+--------+----------+--------+----------+-----------+----------+----------+
| 2000-01-03 |  96.56 |          |        |          |        |          |           |          | 10000.00 |
| 2000-01-04 |  92.78 |   NDAY   |  95.29 |          |        |      104 |     66.95 |  -261.08 |  9738.92 |
| 2000-01-05 |  92.95 |          |        |          |        |      104 |     66.95 |  -243.81 |  9756.19 |
| 2000-01-06 |  91.45 |          |        |          |        |      104 |     66.95 |  -399.16 |  9600.84 |
| 2000-01-07 |  96.76 |          |        |   PNL    |  96.76 |      104 |     67.73 |   153.19 | 10153.19 |
| 2000-01-10 |  97.09 |          |        |          |        |          |           |          | 10153.19 |
| 2000-01-11 |  95.93 |          |        |          |        |          |           |          | 10153.19 |
| 2000-01-12 |  94.98 |          |        |          |        |          |           |          | 10153.19 |
| 2000-01-13 |  96.26 |          |        |          |        |          |           |          | 10153.19 |
| 2000-01-14 |  97.57 |          |        |          |        |          |           |          | 10153.19 |
| 2000-01-18 |  96.80 |          |        |          |        |          |           |          | 10153.19 |
| 2000-01-19 |  97.59 |          |        |          |        |          |           |          | 10153.19 |
| 2000-01-20 |  96.10 |          |        |          |        |          |           |          | 10153.19 |
| 2000-01-21 |  95.89 |          |        |          |        |          |           |          | 10153.19 |
| 2000-01-24 |  93.17 |          |        |          |        |          |           |          | 10153.19 |
| 2000-01-25 |  94.23 |   NDAY   |  93.29 |   PNL    |  94.23 |      108 |     65.96 |   101.95 | 10255.14 |
| 2000-01-26 |  93.48 |          |        |          |        |          |           |          | 10255.14 |
| 2000-01-27 |  93.11 |          |        |          |        |          |           |          | 10255.14 |
| 2000-01-28 |  90.21 |          |        |          |        |          |           |          | 10255.14 |
| 2000-01-31 |  92.65 |          |        |          |        |          |           |          | 10255.14 |
| 2000-02-01 |  93.57 |          |        |          |        |          |           |          | 10255.14 |
| 2000-02-02 |  93.65 |          |        |          |        |          |           |          | 10255.14 |
| 2000-02-03 |  95.06 |          |        |          |        |          |           |          | 10255.14 |
| 2000-02-04 |  94.67 |          |        |          |        |          |           |          | 10255.14 |
| 2000-02-07 |  94.52 |          |        |          |        |          |           |          | 10255.14 |
| 2000-02-08 |  95.81 |   NDAY   |  95.58 |   PNL    |  95.81 |      107 |     67.18 |    24.42 | 10279.56 |
| 2000-02-09 |  93.80 |          |        |          |        |          |           |          | 10279.56 |
| 2000-02-10 |  93.98 |          |        |          |        |          |           |          | 10279.56 |
| 2000-02-11 |  92.07 |          |        |          |        |          |           |          | 10279.56 |
| 2000-02-14 |  92.61 |          |        |          |        |          |           |          | 10279.56 |
| 2000-02-15 |  93.66 |   NDAY   |  92.45 |   PNL    |  93.66 |      111 |     65.63 |   134.72 | 10414.28 |
| 2000-02-16 |  92.28 |          |        |          |        |          |           |          | 10414.28 |
| 2000-02-17 |  91.80 |          |        |          |        |          |           |          | 10414.28 |
| 2000-02-18 |  89.83 |          |        |          |        |          |           |          | 10414.28 |
| 2000-02-22 |  89.60 |   NDAY   |  89.75 |          |        |      116 |     63.36 |   -16.85 | 10397.43 |
| 2000-02-23 |  90.66 |          |        |   PNL    |  90.66 |      116 |     63.89 |   105.89 | 10520.17 |
| 2000-02-24 |  88.84 |          |        |          |        |          |           |          | 10520.17 |
| 2000-02-25 |  88.52 |          |        |          |        |          |           |          | 10520.17 |
| 2000-02-28 |  90.37 |          |        |          |        |          |           |          | 10520.17 |
| 2000-02-29 |  91.24 |          |        |          |        |          |           |          | 10520.17 |
| 2000-03-01 |  91.91 |          |        |          |        |          |           |          | 10520.17 |
| 2000-03-02 |  91.97 |          |        |          |        |          |           |          | 10520.17 |
| 2000-03-03 |  93.69 |          |        |          |        |          |           |          | 10520.17 |
| 2000-03-06 |  92.78 |          |        |          |        |          |           |          | 10520.17 |
| 2000-03-07 |  90.98 |   NDAY   |  92.95 |          |        |      113 |     65.13 |  -221.54 | 10298.63 |
| 2000-03-08 |  90.87 |          |        |          |        |      113 |     65.13 |  -234.44 | 10285.74 |
| 2000-03-09 |  93.53 |          |        |   PNL    |  93.53 |      113 |     65.47 |    65.64 | 10585.82 |
| 2000-03-10 |  93.03 |          |        |          |        |          |           |          | 10585.82 |
| 2000-03-13 |  92.01 |          |        |          |        |          |           |          | 10585.82 |
| 2000-03-14 |  90.70 |          |        |          |        |          |           |          | 10585.82 |
| 2000-03-15 |  92.82 |          |        |          |        |          |           |          | 10585.82 |
| 2000-03-16 |  97.16 |          |        |          |        |          |           |          | 10585.82 |
| 2000-03-17 |  97.80 |          |        |          |        |          |           |          | 10585.82 |
| 2000-03-20 |  97.30 |          |        |          |        |          |           |          | 10585.82 |
| 2000-03-21 |  99.30 |   NDAY   |  96.86 |   PNL    |  99.30 |      109 |     93.25 |   265.25 | 10851.07 |
| 2000-03-22 |  99.90 |          |        |          |        |          |           |          | 10851.07 |
| 2000-03-23 | 101.61 |          |        |          |        |          |           |          | 10851.07 |
| 2000-03-24 | 102.21 |          |        |          |        |          |           |          | 10851.07 |
| 2000-03-27 | 101.13 |          |        |          |        |          |           |          | 10851.07 |
| 2000-03-28 | 100.54 |   NDAY   | 100.67 |          |        |      107 |     93.41 |   -13.35 | 10837.72 |
| 2000-03-29 | 100.65 |          |        |          |        |      107 |     93.41 |    -2.22 | 10848.85 |
| 2000-03-30 |  98.96 |          |        |          |        |      107 |     93.41 |  -182.49 | 10668.58 |
| 2000-03-31 | 100.09 |          |        |          |        |      107 |     93.41 |   -62.32 | 10788.75 |
| 2000-04-03 | 100.67 |          |        |   PNL    | 100.67 |      107 |     93.41 |     0.00 | 10851.07 |
| 2000-04-04 |  99.92 |          |        |          |        |          |           |          | 10851.07 |
| 2000-04-05 |  99.30 |          |        |          |        |          |           |          | 10851.07 |
| 2000-04-06 | 100.16 |          |        |          |        |          |           |          | 10851.07 |
| 2000-04-07 | 100.79 |          |        |          |        |          |           |          | 10851.07 |
| 2000-04-10 | 100.40 |          |        |          |        |          |           |          | 10851.07 |
| 2000-04-11 | 100.11 |   NDAY   |  99.84 |   PNL    | 100.11 |      108 |     90.73 |    29.20 | 10880.28 |
| 2000-04-12 |  97.36 |          |        |          |        |          |           |          | 10880.28 |
| 2000-04-13 |  96.01 |          |        |          |        |          |           |          | 10880.28 |
| 2000-04-14 |  90.52 |          |        |          |        |          |           |          | 10880.28 |
| 2000-04-17 |  93.68 |          |        |          |        |          |           |          | 10880.28 |
| 2000-04-18 |  96.16 |          |        |          |        |          |           |          | 10880.28 |
| 2000-04-19 |  95.26 |          |        |          |        |          |           |          | 10880.28 |
| 2000-04-20 |  95.72 |          |        |          |        |          |           |          | 10880.28 |
| 2000-04-24 |  94.68 |          |        |          |        |          |           |          | 10880.28 |
| 2000-04-25 |  98.61 |          |        |          |        |          |           |          | 10880.28 |
| 2000-04-26 |  97.50 |          |        |          |        |          |           |          | 10880.28 |
| 2000-04-27 |  97.17 |          |        |          |        |          |           |          | 10880.28 |
| 2000-04-28 |  96.57 |          |        |          |        |          |           |          | 10880.28 |
| 2000-05-01 |  97.88 |          |        |          |        |          |           |          | 10880.28 |
| 2000-05-02 |  95.93 |          |        |          |        |          |           |          | 10880.28 |
| 2000-05-03 |  93.68 |          |        |          |        |          |           |          | 10880.28 |
| 2000-05-04 |  94.39 |          |        |          |        |          |           |          | 10880.28 |
| 2000-05-05 |  95.53 |          |        |          |        |          |           |          | 10880.28 |
| 2000-05-08 |  94.81 |          |        |          |        |          |           |          | 10880.28 |
| 2000-05-09 |  94.06 |   NDAY   |  95.22 |          |        |      114 |     86.90 |  -132.78 | 10747.49 |
| 2000-05-10 |  91.93 |          |        |          |        |      114 |     86.95 |  -374.64 | 10505.64 |
