+------------+--------+----------+--------+----------+--------+----------+-----------+----------+----------+
|    Date    |  Close | InSignal |  Entry | ExSignal |   Exit | Position | StopLevel |      MTM |   Equity |
+------------+--------+----------+--------+----------+--------+----------+-----------+----------+----------+
| 2000-01-03 |  96.56 |          |        |          |        |          |           |          | 10000.00 |
| 2000-01-04 |  92.78 |          |        |          |        |          |           |          | 10000.00 |
| 2000-01-05 |  92.95 |          |        |          |        |          |           |          | 10000.00 |
| 2000-01-06 |  91.45 |   NDAY   |  92.70 |          |        |      107 |     65.76 |  -133.19 |  9866.81 |
| 2000-01-07 |  96.76 |          |        |   PNL    |  96.76 |      107 |     67.73 |   435.10 | 10435.10 |
| 2000-01-10 |  97.09 |          |        |          |        |          |           |          | 10435.10 |
| 2000-01-11 |  95.93 |          |        |          |        |          |           |          | 10435.10 |
| 2000-01-12 |  94.98 |          |        |          |        |          |           |          | 10435.10 |
| 2000-01-13 |  96.26 |   NDAY   |  95.91 |   PNL    |  96.26 |      108 |     67.73 |    38.09 | 10473.19 |
| 2000-01-14 |  97.57 |          |        |          |        |          |           |          | 10473.19 |
| 2000-01-18 |  96.80 |          |        |          |        |          |           |          | 10473.19 |
| 2000-01-19 |  97.59 |          |        |          |        |          |           |          | 10473.19 |
| 2000-01-20 |  96.10 |          |        |          |        |          |           |          | 10473.19 |
| 2000-01-21 |  95.89 |          |        |          |        |          |           |          | 10473.19 |
| 2000-01-24 |  93.17 |          |        |          |        |          |           |          | 10473.19 |
| 2000-01-25 |  94.23 |          |        |          |        |          |           |          | 10473.19 |
| 2000-01-26 |  93.48 |          |        |          |        |          |           |          | 10473.19 |
| 2000-01-27 |  93.11 |          |        |          |        |          |           |          | 10473.19 |
| 2000-01-28 |  90.21 |          |        |          |        |          |           |          | 10473.19 |
| 2000-01-31 |  92.65 |          |        |          |        |          |           |          | 10473.19 |
| 2000-02-01 |  93.57 |          |        |          |        |          |           |          | 10473.19 |
| 2000-02-02 |  93.65 |          |        |          |        |          |           |          | 10473.19 |
| 2000-02-03 |  95.06 |          |        |          |        |          |           |          | 10473.19 |
| 2000-02-04 |  94.67 |          |        |          |        |          |           |          | 10473.19 |
| 2000-02-07 |  94.52 |          |        |          |        |          |           |          | 10473.19 |
| 2000-02-08 |  95.81 |          |        |          |        |          |           |          | 10473.19 |
| 2000-02-09 |  93.80 |          |        |          |        |          |           |          | 10473.19 |
| 2000-02-10 |  93.98 |          |        |          |        |          |           |          | 10473.19 |
| 2000-02-11 |  92.07 |          |        |          |        |          |           |          | 10473.19 |
| 2000-02-14 |  92.61 |          |        |          |        |          |           |          | 10473.19 |
| 2000-02-15 |  93.66 |          |        |          |        |          |           |          | 10473.19 |
| 2000-02-16 |  92.28 |          |        |          |        |          |           |          | 10473.19 |
| 2000-02-17 |  91.80 |          |        |          |        |          |           |          | 10473.19 |
| 2000-02-18 |  89.83 |          |        |          |        |          |           |          | 10473.19 |
| 2000-02-22 |  89.60 |          |        |          |        |          |           |          | 10473.19 |
| 2000-02-23 |  90.66 |          |        |          |        |          |           |          | 10473.19 |
| 2000-02-24 |  88.84 |   NDAY   |  90.75 |          |        |      115 |     63.68 |  -219.50 | 10253.69 |
| 2000-02-25 |  88.52 |          |        |          |        |      115 |     63.68 |  -256.48 | 10216.71 |
| 2000-02-28 |  90.37 |          |        |          |        |      115 |     63.68 |   -42.95 | 10430.24 |
| 2000-02-29 |  91.24 |          |        |   PNL    |  91.24 |      115 |     63.87 |    57.26 | 10530.44 |
| 2000-03-01 |  91.91 |          |        |          |        |          |           |          | 10530.44 |
| 2000-03-02 |  91.97 |          |        |          |        |          |           |          | 10530.44 |
| 2000-03-03 |  93.69 |          |        |          |        |          |           |          | 10530.44 |
| 2000-03-06 |  92.78 |          |        |          |        |          |           |          | 10530.44 |
| 2000-03-07 |  90.98 |          |        |          |        |          |           |          | 10530.44 |
| 2000-03-08 |  90.87 |          |        |          |        |          |           |          | 10530.44 |
| 2000-03-09 |  93.53 |   NDAY   |  91.12 |   PNL    |  93.53 |      115 |     65.47 |   276.76 | 10807.21 |
| 2000-03-10 |  93.03 |          |        |          |        |          |           |          | 10807.21 |
| 2000-03-13 |  92.01 |          |        |          |        |          |           |          | 10807.21 |
| 2000-03-14 |  90.70 |          |        |          |        |          |           |          | 10807.21 |
| 2000-03-15 |  92.82 |          |        |          |        |          |           |          | 10807.21 |
| 2000-03-16 |  97.16 |   NDAY   |  94.02 |   PNL    |  97.16 |      114 |     91.63 |   357.13 | 11164.34 |
| 2000-03-17 |  97.80 |          |        |          |        |          |           |          | 11164.34 |
| 2000-03-20 |  97.30 |          |        |          |        |          |           |          | 11164.34 |
| 2000-03-21 |  99.30 |          |        |          |        |          |           |          | 11164.34 |
| 2000-03-22 |  99.90 |          |        |          |        |          |           |          | 11164.34 |
| 2000-03-23 | 101.61 |          |        |          |        |          |           |          | 11164.34 |
| 2000-03-24 | 102.21 |          |        |          |        |          |           |          | 11164.34 |
| 2000-03-27 | 101.13 |          |        |          |        |          |           |          | 11164.34 |
| 2000-03-28 | 100.54 |          |        |          |        |          |           |          | 11164.34 |
| 2000-03-29 | 100.65 |          |        |          |        |          |           |          | 11164.34 |
| 2000-03-30 |  98.96 |   NDAY   |  99.94 |          |        |      111 |     92.36 |  -108.51 | 11055.83 |
| 2000-03-31 | 100.09 |          |        |   PNL    | 100.09 |      111 |     92.39 |    16.15 | 11180.49 |
| 2000-04-03 | 100.67 |          |        |          |        |          |           |          | 11180.49 |
| 2000-04-04 |  99.92 |          |        |          |        |          |           |          | 11180.49 |
| 2000-04-05 |  99.30 |          |        |          |        |          |           |          | 11180.49 |
| 2000-04-06 | 100.16 |   NDAY   | 100.00 |   PNL    | 100.16 |      111 |     91.16 |    17.32 | 11197.81 |
| 2000-04-07 | 100.79 |          |        |          |        |          |           |          | 11197.81 |
| 2000-04-10 | 100.40 |          |        |          |        |          |           |          | 11197.81 |
| 2000-04-11 | 100.11 |          |        |          |        |          |           |          | 11197.81 |
| 2000-04-12 |  97.36 |          |        |          |        |          |           |          | 11197.81 |
| 2000-04-13 |  96.01 |          |        |          |        |          |           |          | 11197.81 |
| 2000-04-14 |  90.52 |          |        |          |        |          |           |          | 11197.81 |
| 2000-04-17 |  93.68 |          |        |          |        |          |           |          | 11197.81 |
| 2000-04-18 |  96.16 |          |        |          |        |          |           |          | 11197.81 |
| 2000-04-19 |  95.26 |          |        |          |        |          |           |          | 11197.81 |
| 2000-04-20 |  95.72 |          |        |          |        |          |           |          | 11197.81 |
| 2000-04-24 |  94.68 |          |        |          |        |          |           |          | 11197.81 |
| 2000-04-25 |  98.61 |          |        |          |        |          |           |          | 11197.81 |
| 2000-04-26 |  97.50 |          |        |          |        |          |           |          | 11197.81 |
| 2000-04-27 |  97.17 |          |        |          |        |          |           |          | 11197.81 |
| 2000-04-28 |  96.57 |          |        |          |        |          |           |          | 11197.81 |
| 2000-05-01 |  97.88 |          |        |          |        |          |           |          | 11197.81 |
| 2000-05-02 |  95.93 |          |        |          |        |          |           |          | 11197.81 |
| 2000-05-03 |  93.68 |          |        |          |        |          |           |          | 11197.81 |
| 2000-05-04 |  94.39 |   NDAY   |  94.51 |          |        |      118 |     85.21 |   -14.73 | 11183.08 |
| 2000-05-05 |  95.53 |          |        |   PNL    |  95.53 |      118 |     86.66 |   120.26 | 11318.07 |
| 2000-05-08 |  94.81 |          |        |          |        |          |           |          | 11318.07 |
| 2000-05-09 |  94.06 |          |        |          |        |          |           |          | 11318.07 |
| 2000-05-10 |  91.93 |          |        |          |        |          |           |          | 11318.07 |
| 2000-05-11 |  94.03 |   NDAY   |  93.26 |   PNL    |  94.03 |      121 |     85.79 |    93.12 | 11411.19 |
| 2000-05-12 |  95.05 |          |        |          |        |          |           |          | 11411.19 |
| 2000-05-15 |  96.70 |          |        |          |        |          |           |          | 11411.19 |
