Date,Equity
2000-01-03,10000.0
2000-01-04,10000.0
2000-01-05,10000.0
2000-01-06,9866.8063
2000-01-07,10435.0961
2000-01-10,10435.0961
2000-01-11,10435.0961
2000-01-12,10435.0961
2000-01-13,10473.187
2000-01-14,10473.187
2000-01-18,10473.187
2000-01-19,10473.187
2000-01-20,10473.187
2000-01-21,10473.187
2000-01-24,10473.187
2000-01-25,10473.187
2000-01-26,10473.187
2000-01-27,10473.187
2000-01-28,10473.187
2000-01-31,10473.187
2000-02-01,10473.187
2000-02-02,10473.187
2000-02-03,10473.187
2000-02-04,10473.187
2000-02-07,10473.187
2000-02-08,10473.187
2000-02-09,10473.187
2000-02-10,10473.187
2000-02-11,10473.187
2000-02-14,10473.187
2000-02-15,10473.187
2000-02-16,10473.187
2000-02-17,10473.187
2000-02-18,10473.187
2000-02-22,10473.187
2000-02-23,10473.187
2000-02-24,10253.6871
2000-02-25,10216.7054
2000-02-28,10430.2374
2000-02-29,10530.4449
2000-03-01,10530.4449
2000-03-02,10530.4449
2000-03-03,10530.4449
2000-03-06,10530.4449
2000-03-07,10530.4449
2000-03-08,10530.4449
2000-03-09,10807.2057
2000-03-10,10807.2057
2000-03-13,10807.2057
2000-03-14,10807.2057
2000-03-15,10807.2057
2000-03-16,11164.3392
2000-03-17,11164.3392
2000-03-20,11164.3392
2000-03-21,11164.3392
2000-03-22,11164.3392
2000-03-23,11164.3392
2000-03-24,11164.3392
2000-03-27,11164.3392
2000-03-28,11164.3392
2000-03-29,11164.3392
2000-03-30,11055.8286
2000-03-31,11180.4927
2000-04-03,11180.4927
2000-04-04,11180.4927
2000-04-05,11180.4927
2000-04-06,11197.8086
2000-04-07,11197.8086
2000-04-10,11197.8086
2000-04-11,11197.8086
2000-04-12,11197.8086
2000-04-13,11197.8086
2000-04-14,11197.8086
2000-04-17,11197.8086
2000-04-18,11197.8086
2000-04-19,11197.8086
2000-04-20,11197.8086
2000-04-24,11197.8086
2000-04-25,11197.8086
2000-04-26,11197.8086
2000-04-27,11197.8086
2000-04-28,11197.8086
2000-05-01,11197.8086
2000-05-02,11197.8086
2000-05-03,11197.8086
2000-05-04,11183.0826
2000-05-05,11318.0722
2000-05-08,11318.0722
2000-05-09,11318.0722
2000-05-10,11318.0722
2000-05-11,11411.1912
2000-05-12,11411.1912
2000-05-15,11411.1912
