InDate,ExDate,Position,Duration,InSignal,Entry,ExSignal,Exit,DollarBase,Value,TradeRtn,PNL
2000-01-06,2000-01-07,107,1,NDAY,92.6962,PNL,96.7625,10000.0,435.0961,0.0435,435.0961
2000-01-13,2000-01-13,108,0,NDAY,95.9119,PNL,96.2646,10435.0961,38.0909,0.0037,473.187
2000-02-24,2000-02-29,115,3,NDAY,90.746,PNL,91.2439,10473.187,57.2579,0.0055,530.4449
2000-03-09,2000-03-09,115,0,NDAY,91.1194,PNL,93.526,10530.4449,276.7608,0.0263,807.2057
2000-03-16,2000-03-16,114,0,NDAY,94.024,PNL,97.1567,10807.2057,357.1335,0.033,1164.3392
2000-03-30,2000-03-31,111,1,NDAY,99.9412,PNL,100.0868,11164.3392,16.1535,0.0014,1180.4927
2000-04-06,2000-04-06,111,0,NDAY,100.0036,PNL,100.1596,11180.4927,17.3159,0.0015,1197.8086
2000-05-04,2000-05-05,118,1,NDAY,94.5125,PNL,95.5317,11197.8086,120.2637,0.0107,1318.0722
2000-05-11,2000-05-11,121,0,NDAY,93.2646,PNL,94.0342,11318.0722,93.119,0.0082,1411.1912
2000-05-25,2000-05-30,121,2,NDAY,93.639,PNL,94.8454,11411.1912,145.9736,0.0128,1557.1648
2000-06-08,2000-06-13,117,3,NDAY,98.1732,PNL,98.2356,11557.1648,7.2986,0.0006,1564.4634
2000-06-22,2000-06-30,117,6,NDAY,98.4461,EXPIRY,96.9241,11564.4634,-178.0681,-0.0154,1386.3953
2000-07-20,2000-07-20,114,0,NDAY,99.4051,PNL,100.4892,11386.3953,123.5892,0.0109,1509.9845
2000-07-27,2000-08-04,118,6,NDAY,97.362,PNL,97.6539,11509.9845,34.4464,0.003,1544.4309
2000-08-17,2000-08-17,116,0,NDAY,99.1966,PNL,100.1973,11544.4309,116.0838,0.0101,1660.5147
2000-08-24,2000-08-24,115,0,NDAY,100.8436,PNL,100.9479,11660.5147,11.9878,0.001,1672.5025
2000-09-07,2000-09-07,116,0,NDAY,100.2391,PNL,100.6352,11672.5025,45.9499,0.0039,1718.4524
2000-09-14,2000-09-21,117,5,NDAY,99.9889,STOP_OUT,95.4329,11718.4524,-533.0492,-0.0455,1185.4032
2000-09-28,2000-09-28,116,0,NDAY,95.7673,PNL,96.9795,11185.4032,140.6203,0.0126,1326.0235
2000-10-05,2000-10-05,118,0,NDAY,95.9136,PNL,96.4362,11326.0235,61.6573,0.0054,1387.6808
2000-10-12,2000-10-13,124,1,NDAY,91.8171,PNL,92.0052,11387.6808,23.3242,0.002,1411.0049
2000-10-19,2000-10-19,124,0,NDAY,91.5244,PNL,93.1756,11411.0049,204.7438,0.0179,1615.7488
