Date,Equity
2000-01-03,10000.0
2000-01-04,9738.9238
2000-01-05,9756.1857
2000-01-06,9600.8367
2000-01-07,10153.1932
2000-01-10,10153.1932
2000-01-11,10153.1932
2000-01-12,10153.1932
2000-01-13,10153.1932
2000-01-14,10153.1932
2000-01-18,10153.1932
2000-01-19,10153.1932
2000-01-20,10153.1932
2000-01-21,10153.1932
2000-01-24,10153.1932
2000-01-25,10255.1427
2000-01-26,10255.1427
2000-01-27,10255.1427
2000-01-28,10255.1427
2000-01-31,10255.1427
2000-02-01,10255.1427
2000-02-02,10255.1427
2000-02-03,10255.1427
2000-02-04,10255.1427
2000-02-07,10255.1427
2000-02-08,10279.5616
2000-02-09,10279.5616
2000-02-10,10279.5616
2000-02-11,10279.5616
2000-02-14,10279.5616
2000-02-15,10414.2799
2000-02-16,10414.2799
2000-02-17,10414.2799
2000-02-18,10414.2799
2000-02-22,10397.4336
2000-02-23,10520.1732
2000-02-24,10520.1732
2000-02-25,10520.1732
2000-02-28,10520.1732
2000-02-29,10520.1732
2000-03-01,10520.1732
2000-03-02,10520.1732
2000-03-03,10520.1732
2000-03-06,10520.1732
2000-03-07,10298.6301
2000-03-08,10285.7379
2000-03-09,10585.815
2000-03-10,10585.815
2000-03-13,10585.815
2000-03-14,10585.815
2000-03-15,10585.815
2000-03-16,10585.815
2000-03-17,10585.815
2000-03-20,10585.815
2000-03-21,10851.07
2000-03-22,10851.07
2000-03-23,10851.07
2000-03-24,10851.07
2000-03-27,10851.07
2000-03-28,10837.7168
2000-03-29,10848.8458
2000-03-30,10668.5829
2000-03-31,10788.7546
2000-04-03,10851.0746
2000-04-04,10851.0746
2000-04-05,10851.0746
2000-04-06,10851.0746
2000-04-07,10851.0746
2000-04-10,10851.0746
2000-04-11,10880.277
2000-04-12,10880.277
2000-04-13,10880.277
2000-04-14,10880.277
2000-04-17,10880.277
2000-04-18,10880.277
2000-04-19,10880.277
2000-04-20,10880.277
2000-04-24,10880.277
2000-04-25,10880.277
2000-04-26,10880.277
2000-04-27,10880.277
2000-04-28,10880.277
2000-05-01,10880.277
2000-05-02,10880.277
2000-05-03,10880.277
2000-05-04,10880.277
2000-05-05,10880.277
2000-05-08,10880.277
2000-05-09,10747.4935
2000-05-10,10505.638
2000-05-11,10745.1269
2000-05-12,10861.3089
2000-05-15,11048.6291
2000-05-16,11048.6291
2000-05-17,11048.6291
2000-05-18,11048.6291
2000-05-19,11048.6291
2000-05-22,11048.6291
2000-05-23,10857.1913
2000-05-24,11033.901
2000-05-25,10844.9217
2000-05-26,10857.1913
2000-05-30,11210.6202
2000-05-31,11210.6202
2000-06-01,11210.6202
2000-06-02,11210.6202
2000-06-05,11210.6202
2000-06-06,11198.7645
2000-06-07,11275.8331
2000-06-08,11275.8331
2000-06-09,11275.8331
2000-06-12,11275.8331
2000-06-13,11490.5662
2000-06-14,11490.5662
2000-06-15,11490.5662
2000-06-16,11490.5662
2000-06-19,11490.5662
2000-06-20,11490.5662
2000-06-21,11490.5662
2000-06-22,11490.5662
2000-06-23,11490.5662
2000-06-26,11490.5662
2000-06-27,11490.5662
2000-06-28,11490.5662
2000-06-29,11490.5662
2000-06-30,11490.5662
2000-07-03,11490.5662
2000-07-05,11490.5662
2000-07-06,11490.5662
2000-07-07,11490.5662
2000-07-10,11490.5662
2000-07-11,11543.7713
2000-07-12,11543.7713
2000-07-13,11543.7713
2000-07-14,11543.7713
2000-07-17,11543.7713
2000-07-18,11543.7713
2000-07-19,11543.7713
2000-07-20,11543.7713
2000-07-21,11543.7713
2000-07-24,11543.7713
2000-07-25,11509.6216
2000-07-26,11397.4186
2000-07-27,11358.3863
2000-07-28,11102.2721
2000-07-31,11173.0056
2000-08-01,11241.3032
2000-08-02,11297.4012
2000-08-03,11297.4012
2000-08-04,11297.4012
2000-08-07,11297.4012
2000-08-08,11297.4012
2000-08-09,11297.4012
2000-08-10,11297.4012
2000-08-11,11297.4012
2000-08-14,11297.4012
2000-08-15,11297.4012
2000-08-16,11297.4012
2000-08-17,11297.4012
2000-08-18,11297.4012
2000-08-21,11297.4012
2000-08-22,11297.4012
2000-08-23,11297.4012
2000-08-24,11297.4012
2000-08-25,11297.4012
2000-08-28,11297.4012
2000-08-29,11297.4012
2000-08-30,11297.4012
2000-08-31,11297.4012
2000-09-01,11297.4012
2000-09-05,11253.4319
2000-09-06,11126.1471
2000-09-07,11221.0366
2000-09-08,11144.6686
2000-09-11,11128.4659
2000-09-12,11047.4737
2000-09-13,11076.3991
2000-09-14,11076.3991
2000-09-15,11076.3991
2000-09-18,11076.3991
2000-09-19,11140.7317
2000-09-20,11140.7317
2000-09-21,11140.7317
2000-09-22,11140.7317
2000-09-25,11140.7317
2000-09-26,10989.3057
2000-09-27,11046.9931
2000-09-28,11188.8042
2000-09-29,11188.8042
2000-10-02,11188.8042
2000-10-03,11032.571
2000-10-04,11123.9109
2000-10-05,11162.3669
2000-10-06,10922.0031
2000-10-09,10840.2841
2000-10-10,10662.4205
2000-10-11,10662.4205
2000-10-12,10662.4205
2000-10-13,10662.4205
2000-10-16,10662.4205
2000-10-17,10662.4205
2000-10-18,10662.4205
2000-10-19,10662.4205
2000-10-20,10662.4205
2000-10-23,10662.4205
2000-10-24,10662.4205
2000-10-25,10662.4205
2000-10-26,10662.4205
2000-10-27,10662.4205
2000-10-30,10662.4205
2000-10-31,10662.4205
2000-11-01,10662.4205
2000-11-02,10662.4205
2000-11-03,10662.4205
2000-11-06,10662.4205
2000-11-07,10662.4205
2000-11-08,10662.4205
2000-11-09,10662.4205
2000-11-10,10662.4205
2000-11-13,10662.4205
2000-11-14,10789.8106
2000-11-15,10789.8106
2000-11-16,10789.8106
2000-11-17,10789.8106
2000-11-20,10789.8106
2000-11-21,10829.6057
2000-11-22,10829.6057
2000-11-24,10829.6057
2000-11-27,10829.6057
2000-11-28,10715.1949
2000-11-29,10695.2945
2000-11-30,10603.2646
2000-12-01,10598.2928
2000-12-04,10687.8308
2000-12-05,11036.0391
2000-12-06,11036.0391
2000-12-07,11036.0391
2000-12-08,11036.0391
2000-12-11,11036.0391
2000-12-12,11036.0391
2000-12-13,11036.0391
2000-12-14,11036.0391
2000-12-15,11036.0391
2000-12-18,11036.0391
2000-12-19,11036.0391
2000-12-20,11036.0391
2000-12-21,11036.0391
2000-12-22,11036.0391
2000-12-26,11036.0391
2000-12-27,11036.0391
2000-12-28,11036.0391
2000-12-29,11036.0391
2001-01-02,10770.8755
2001-01-03,11285.6081
2001-01-04,11285.6081
2001-01-05,11285.6081
2001-01-08,11285.6081
2001-01-09,11285.6081
2001-01-10,11285.6081
2001-01-11,11285.6081
2001-01-12,11285.6081
2001-01-16,11357.4967
2001-01-17,11357.4967
2001-01-18,11357.4967
2001-01-19,11357.4967
2001-01-22,11357.4967
2001-01-23,11357.4967
2001-01-24,11357.4967
2001-01-25,11357.4967
2001-01-26,11357.4967
2001-01-29,11357.4967
2001-01-30,11357.4967
2001-01-31,11357.4967
2001-02-01,11357.4967
2001-02-02,11357.4967
2001-02-05,11357.4967
2001-02-06,11357.4967
2001-02-07,11357.4967
2001-02-08,11357.4967
2001-02-09,11357.4967
2001-02-12,11357.4967
2001-02-13,11357.4967
2001-02-14,11357.4967
2001-02-15,11357.4967
2001-02-16,11357.4967
2001-02-20,11128.1585
2001-02-21,10888.4288
2001-02-22,10904.875
2001-02-23,10831.314
2001-02-26,11061.5197
2001-02-27,10959.3969
2001-02-28,10743.9075
2001-03-01,10743.9075
2001-03-02,10743.9075
2001-03-05,10743.9075
2001-03-06,10743.9075
2001-03-07,10743.9075
2001-03-08,10743.9075
2001-03-09,10743.9075
2001-03-12,10743.9075
2001-03-13,10799.6439
2001-03-14,10799.6439
2001-03-15,10799.6439
2001-03-16,10799.6439
2001-03-19,10799.6439
2001-03-20,10799.6439
2001-03-21,10799.6439
2001-03-22,10799.6439
2001-03-23,10799.6439
2001-03-26,10799.6439
2001-03-27,10799.6439
2001-03-28,10799.6439
2001-03-29,10799.6439
2001-03-30,10799.6439
2001-04-02,10799.6439
2001-04-03,10461.5538
2001-04-04,10504.874
2001-04-05,10900.416
2001-04-06,10900.416
2001-04-09,10900.416
2001-04-10,10900.416
2001-04-11,10900.416
2001-04-12,10900.416
2001-04-16,10900.416
2001-04-17,11081.4348
2001-04-18,11081.4348
2001-04-19,11081.4348
2001-04-20,11081.4348
2001-04-23,11081.4348
2001-04-24,10996.7037
2001-04-25,11140.0261
2001-04-26,11140.0261
2001-04-27,11140.0261
2001-04-30,11140.0261
2001-05-01,11140.0261
2001-05-02,11140.0261
2001-05-03,11140.0261
2001-05-04,11140.0261
2001-05-07,11140.0261
2001-05-08,11080.561
2001-05-09,11034.2121
2001-05-10,11066.5704
2001-05-11,10990.4866
2001-05-14,11012.35
2001-05-15,11063.0682
2001-05-16,11322.7978
2001-05-17,11322.7978
2001-05-18,11322.7978
2001-05-21,11322.7978
2001-05-22,11322.7978
2001-05-23,11322.7978
2001-05-24,11322.7978
2001-05-25,11322.7978
2001-05-29,11222.3394
2001-05-30,11065.4827
2001-05-31,11122.7637
2001-06-01,11191.4994
2001-06-04,11245.25
2001-06-05,11373.9117
2001-06-06,11373.9117
2001-06-07,11373.9117
2001-06-08,11373.9117
2001-06-11,11373.9117
2001-06-12,11466.54
2001-06-13,11466.54
2001-06-14,11466.54
2001-06-15,11466.54
2001-06-18,11466.54
2001-06-19,11411.6145
2001-06-20,11471.196
2001-06-21,11471.196
2001-06-22,11471.196
2001-06-25,11471.196
2001-06-26,11532.5841
2001-06-27,11532.5841
2001-06-28,11532.5841
2001-06-29,11532.5841
2001-07-02,11532.5841
2001-07-03,11532.5841
2001-07-05,11532.5841
2001-07-06,11532.5841
2001-07-09,11532.5841
2001-07-10,11532.5841
2001-07-11,11532.5841
2001-07-12,11532.5841
2001-07-13,11532.5841
2001-07-16,11532.5841
2001-07-17,11689.6839
2001-07-18,11689.6839
2001-07-19,11689.6839
2001-07-20,11689.6839
2001-07-23,11689.6839
2001-07-24,11572.3043
2001-07-25,11699.4621
2001-07-26,11699.4621
2001-07-27,11699.4621
2001-07-30,11699.4621
2001-07-31,11733.2256
2001-08-01,11733.2256
2001-08-02,11733.2256
2001-08-03,11733.2256
2001-08-06,11733.2256
2001-08-07,11781.7965
2001-08-08,11781.7965
2001-08-09,11781.7965
2001-08-10,11781.7965
2001-08-13,11781.7965
2001-08-14,11696.6962
2001-08-15,11595.943
2001-08-16,11636.0471
2001-08-17,11450.1904
2001-08-20,11555.8374
2001-08-21,11359.2276
2001-08-22,11476.6051
2001-08-23,11476.6051
2001-08-24,11476.6051
2001-08-27,11476.6051
2001-08-28,11312.611
2001-08-29,11212.2879
2001-08-30,10998.134
2001-08-31,11078.1997
2001-09-04,11007.7779
2001-09-05,11034.7877
2001-09-06,10752.1396
2001-09-07,10752.1396
2001-09-10,10752.1396
2001-09-17,10752.1396
2001-09-18,10752.1396
2001-09-19,10752.1396
2001-09-20,10752.1396
2001-09-21,10752.1396
2001-09-24,10752.1396
2001-09-25,10752.1396
2001-09-26,10752.1396
2001-09-27,10752.1396
2001-09-28,10752.1396
2001-10-01,10752.1396
2001-10-02,10752.1396
2001-10-03,10752.1396
2001-10-04,10752.1396
2001-10-05,10752.1396
2001-10-08,10752.1396
2001-10-09,10752.1396
2001-10-10,10752.1396
2001-10-11,10752.1396
2001-10-12,10752.1396
2001-10-15,10752.1396
2001-10-16,10752.1396
2001-10-17,10752.1396
2001-10-18,10752.1396
2001-10-19,10752.1396
2001-10-22,10752.1396
2001-10-23,10752.1396
2001-10-24,10752.1396
2001-10-25,10752.1396
2001-10-26,10752.1396
2001-10-29,10752.1396
2001-10-30,10633.6899
2001-10-31,10597.8527
2001-11-01,10867.6007
2001-11-02,10867.6007
2001-11-05,10867.6007
2001-11-06,10867.6007
2001-11-07,10867.6007
2001-11-08,10867.6007
2001-11-09,10867.6007
2001-11-12,10867.6007
2001-11-13,10867.6007
2001-11-14,10867.6007
2001-11-15,10867.6007
2001-11-16,10867.6007
2001-11-19,10867.6007
2001-11-20,10867.6007
2001-11-21,10867.6007
2001-11-23,10867.6007
2001-11-26,10867.6007
2001-11-27,10867.6007
2001-11-28,10867.6007
2001-11-29,10867.6007
2001-11-30,10867.6007
2001-12-03,10867.6007
2001-12-04,10997.4736
2001-12-05,10997.4736
2001-12-06,10997.4736
2001-12-07,10997.4736
2001-12-10,10997.4736
2001-12-11,10925.8674
2001-12-12,10938.2768
2001-12-13,10726.32
2001-12-14,10828.4759
2001-12-17,10940.186
2001-12-18,11005.1122
2001-12-19,11005.1122
2001-12-20,11005.1122
2001-12-21,11005.1122
2001-12-24,11005.1122
2001-12-26,11005.1122
2001-12-27,11005.1122
2001-12-28,11005.1122
2001-12-31,11005.1122
2002-01-02,11005.1122
2002-01-03,11005.1122
2002-01-04,11005.1122
2002-01-07,11005.1122
2002-01-08,10979.7957
2002-01-09,10890.725
2002-01-10,10938.5462
2002-01-11,10831.65
2002-01-14,10764.1431
2002-01-15,10851.3412
2002-01-16,10632.8665
2002-01-17,10632.8665
2002-01-18,10632.8665
2002-01-22,10632.8665
2002-01-23,10632.8665
2002-01-24,10632.8665
2002-01-25,10632.8665
2002-01-28,10632.8665
2002-01-29,10300.5516
2002-01-30,10300.5516
2002-01-31,10300.5516
2002-02-01,10300.5516
2002-02-04,10300.5516
2002-02-05,10278.9856
2002-02-06,10234.9153
2002-02-07,10171.1566
2002-02-08,10365.2494
2002-02-11,10365.2494
2002-02-12,10365.2494
2002-02-13,10365.2494
2002-02-14,10365.2494
2002-02-15,10365.2494
2002-02-19,10234.9162
2002-02-20,10406.5013
2002-02-21,10406.5013
2002-02-22,10406.5013
2002-02-25,10406.5013
2002-02-26,10406.5013
2002-02-27,10406.5013
2002-02-28,10406.5013
2002-03-01,10406.5013
2002-03-04,10406.5013
2002-03-05,10406.5013
2002-03-06,10406.5013
2002-03-07,10406.5013
2002-03-08,10406.5013
2002-03-11,10406.5013
2002-03-12,10406.5013
2002-03-13,10406.5013
2002-03-14,10406.5013
2002-03-15,10406.5013
2002-03-18,10406.5013
2002-03-19,10419.7886
2002-03-20,10419.7886
2002-03-21,10419.7886
2002-03-22,10419.7886
2002-03-25,10419.7886
2002-03-26,10488.2695
2002-03-27,10488.2695
2002-03-28,10488.2695
2002-04-01,10488.2695
2002-04-02,10488.2695
2002-04-03,10488.2695
2002-04-04,10488.2695
2002-04-05,10488.2695
2002-04-08,10488.2695
2002-04-09,10488.2695
2002-04-10,10488.2695
2002-04-11,10488.2695
2002-04-12,10488.2695
2002-04-15,10488.2695
2002-04-16,10628.2976
2002-04-17,10628.2976
2002-04-18,10628.2976
2002-04-19,10628.2976
2002-04-22,10628.2976
2002-04-23,10573.9217
2002-04-24,10468.0341
2002-04-25,10473.7559
