Date,Close,InSignal,Entry,ExSignal,Exit,Position,StopLevel,MTM,Equity
2000-01-03,96.5551,,,,,,,0.0,10000.0
2000-01-04,92.7792,NDAY,95.2895,,,104.0,66.9495,-261.0762,9738.9238
2000-01-05,92.9451,,,,,104.0,66.9495,-243.8143,9756.1857
2000-01-06,91.4514,,,,,104.0,66.9495,-399.1633,9600.8367
2000-01-07,96.7625,,,PNL,96.7625,104.0,67.7338,153.1932,10153.1932
2000-01-10,97.0945,,,,,,,0.0,10153.1932
2000-01-11,95.9326,,,,,,,0.0,10153.1932
2000-01-12,94.9783,,,,,,,0.0,10153.1932
2000-01-13,96.2646,,,,,,,0.0,10153.1932
2000-01-14,97.5717,,,,,,,0.0,10153.1932
2000-01-18,96.804,,,,,,,0.0,10153.1932
2000-01-19,97.5924,,,,,,,0.0,10153.1932
2000-01-20,96.0987,,,,,,,0.0,10153.1932
2000-01-21,95.8912,,,,,,,0.0,10153.1932
2000-01-24,93.1734,,,,,,,0.0,10153.1932
2000-01-25,94.2314,NDAY,93.2874,PNL,94.2314,108.0,65.962,101.9495,10255.1427
2000-01-26,93.4846,,,,,,,0.0,10255.1427
2000-01-27,93.1111,,,,,,,0.0,10255.1427
2000-01-28,90.2066,,,,,,,0.0,10255.1427
2000-01-31,92.6547,,,,,,,0.0,10255.1427
2000-02-01,93.5676,,,,,,,0.0,10255.1427
2000-02-02,93.6505,,,,,,,0.0,10255.1427
2000-02-03,95.0613,,,,,,,0.0,10255.1427
2000-02-04,94.6671,,,,,,,0.0,10255.1427
2000-02-07,94.5219,,,,,,,0.0,10255.1427
2000-02-08,95.8082,NDAY,95.58,PNL,95.8082,107.0,67.1819,24.4189,10279.5616
2000-02-09,93.7958,,,,,,,0.0,10279.5616
2000-02-10,93.9825,,,,,,,0.0,10279.5616
2000-02-11,92.0738,,,,,,,0.0,10279.5616
2000-02-14,92.6132,,,,,,,0.0,10279.5616
2000-02-15,93.6609,NDAY,92.4473,PNL,93.6609,111.0,65.628,134.7183,10414.2799
2000-02-16,92.2812,,,,,,,0.0,10414.2799
2000-02-17,91.8041,,,,,,,0.0,10414.2799
2000-02-18,89.8332,,,,,,,0.0,10414.2799
2000-02-22,89.6049,NDAY,89.7501,,,116.0,63.3624,-16.8463,10397.4336
2000-02-23,90.663,,,PNL,90.663,116.0,63.8853,105.8933,10520.1732
2000-02-24,88.8373,,,,,,,0.0,10520.1732
2000-02-25,88.5157,,,,,,,0.0,10520.1732
2000-02-28,90.3725,,,,,,,0.0,10520.1732
