InDate,ExDate,Position,Duration,InSignal,Entry,ExSignal,Exit,DollarBase,Value,TradeRtn,PNL
2000-01-04,2000-01-07,104,3,NDAY,95.2895,PNL,96.7625,10000.0,153.1932,0.0153,153.1932
2000-01-25,2000-01-25,108,0,NDAY,93.2874,PNL,94.2314,10153.1932,101.9495,0.01,255.1427
2000-02-08,2000-02-08,107,0,NDAY,95.58,PNL,95.8082,10255.1427,24.4189,0.0024,279.5616
2000-02-15,2000-02-15,111,0,NDAY,92.4473,PNL,93.6609,10279.5616,134.7183,0.0131,414.2799
2000-02-22,2000-02-23,116,1,NDAY,89.7501,PNL,90.663,10414.2799,105.8933,0.0102,520.1732
2000-03-07,2000-03-09,113,2,NDAY,92.9451,PNL,93.526,10520.1732,65.6419,0.0062,585.815
2000-03-21,2000-03-21,109,0,NDAY,96.8629,PNL,99.2964,10585.815,265.2549,0.0251,851.07
2000-03-28,2000-04-03,107,4,NDAY,100.6691,PNL,100.6692,10851.07,0.0047,0.0,851.0746
2000-04-11,2000-04-11,108,0,NDAY,99.8371,PNL,100.1075,10851.0746,29.2024,0.0027,880.277
2000-05-09,2000-05-15,114,4,NDAY,95.2197,PNL,96.6965,10880.277,168.3521,0.0155,1048.6291
2000-05-23,2000-05-30,118,4,NDAY,93.4726,PNL,94.8454,11048.6291,161.9911,0.0147,1210.6202
2000-06-06,2000-06-07,114,1,NDAY,97.5908,PNL,98.1628,11210.6202,65.2129,0.0058,1275.8331
2000-06-13,2000-06-13,116,0,NDAY,96.3845,PNL,98.2356,11275.8331,214.7331,0.019,1490.5662
2000-07-11,2000-07-11,116,0,NDAY,98.3835,PNL,98.8422,11490.5662,53.2051,0.0046,1543.7713
2000-07-25,2000-08-02,117,6,NDAY,98.5712,EXPIRY,96.4654,11543.7713,-246.3701,-0.0213,1297.4012
2000-09-05,2000-09-13,111,6,NDAY,101.3232,EXPIRY,99.3322,11297.4012,-221.002,-0.0196,1076.3991
2000-09-19,2000-09-19,114,0,NDAY,97.0631,PNL,97.6274,11076.3991,64.3325,0.0058,1140.7317
2000-09-26,2000-09-28,115,2,NDAY,96.5615,PNL,96.9795,11140.7317,48.0725,0.0043,1188.8042
2000-10-03,2000-10-10,115,5,NDAY,96.666,STOP_OUT,92.0888,11188.8042,-526.3837,-0.047,662.4205
