+------------+--------+-----------+--------+----------+--------+----------+-----------+----------+----------+
|    Date    |  Close |  InSignal |  Entry | ExSignal |   Exit | Position | StopLevel |      MTM |   Equity |
+------------+--------+-----------+--------+----------+--------+----------+-----------+----------+----------+
| 2000-01-03 |  96.56 |           |        |          |        |          |           |          | 10000.00 |
| 2000-01-04 |  92.78 |           |        |          |        |          |           |          | 10000.00 |
| 2000-01-05 |  92.95 | PCT-0.005 |  92.90 |   PNL    |  92.95 |      107 |     65.77 |     4.44 | 10004.44 |
| 2000-01-06 |  91.45 |           |        |          |        |          |           |          | 10004.44 |
| 2000-01-07 |  96.76 | PCT-0.005 |  93.15 |   PNL    |  96.76 |      107 |     67.73 |   386.26 | 10390.70 |
| 2000-01-10 |  97.09 |           |        |          |        |          |           |          | 10390.70 |
| 2000-01-11 |  95.93 |           |        |          |        |          |           |          | 10390.70 |
| 2000-01-12 |  94.98 | PCT-0.005 |  95.99 |          |        |      108 |     67.20 |  -109.79 | 10280.91 |
| 2000-01-13 |  96.26 |           |        |   PNL    |  96.26 |      108 |     67.73 |    29.13 | 10419.83 |
| 2000-01-14 |  97.57 |           |        |          |        |          |           |          | 10419.83 |
| 2000-01-18 |  96.80 |           |        |          |        |          |           |          | 10419.83 |
| 2000-01-19 |  97.59 | PCT-0.005 |  96.47 |   PNL    |  97.59 |      108 |     68.31 |   120.99 | 10540.82 |
| 2000-01-20 |  96.10 |           |        |          |        |          |           |          | 10540.82 |
| 2000-01-21 |  95.89 | PCT-0.005 |  96.60 |          |        |      109 |     67.62 |   -76.89 | 10463.94 |
| 2000-01-24 |  93.17 |           |        |          |        |      109 |     67.78 |  -373.13 | 10167.69 |
| 2000-01-25 |  94.23 |           |        |          |        |      109 |     67.78 |  -257.80 | 10283.02 |
| 2000-01-26 |  93.48 |           |        |          |        |      109 |     67.78 |  -339.21 | 10201.61 |
| 2000-01-27 |  93.11 |           |        |          |        |      109 |     67.78 |  -379.92 | 10160.91 |
| 2000-01-28 |  90.21 |           |        |          |        |      109 |     67.78 |  -696.51 |  9844.31 |
| 2000-01-31 |  92.65 |           |        |          |        |      109 |     67.78 |  -429.66 | 10111.16 |
| 2000-02-01 |  93.57 |           |        |          |        |      109 |     67.78 |  -330.16 | 10210.66 |
| 2000-02-02 |  93.65 |           |        |          |        |      109 |     67.78 |  -321.12 | 10219.70 |
| 2000-02-03 |  95.06 |           |        |          |        |      109 |     67.78 |  -167.34 | 10373.48 |
| 2000-02-04 |  94.67 |           |        |          |        |      109 |     67.78 |  -210.31 | 10330.51 |
| 2000-02-07 |  94.52 |           |        |  EXPIRY  |  94.52 |      109 |     67.78 |  -226.14 | 10314.68 |
| 2000-02-08 |  95.81 |           |        |          |        |          |           |          | 10314.68 |
| 2000-02-09 |  93.80 |           |        |          |        |          |           |          | 10314.68 |
| 2000-02-10 |  93.98 | PCT-0.005 |  94.02 |          |        |      109 |     66.25 |    -4.52 | 10310.16 |
| 2000-02-11 |  92.07 |           |        |          |        |      109 |     66.25 |  -212.58 | 10102.11 |
| 2000-02-14 |  92.61 |           |        |          |        |      109 |     66.25 |  -153.78 | 10160.91 |
| 2000-02-15 |  93.66 |           |        |          |        |      109 |     66.25 |   -39.58 | 10275.11 |
| 2000-02-16 |  92.28 |           |        |          |        |      109 |     66.25 |  -189.96 | 10124.72 |
| 2000-02-17 |  91.80 |           |        |          |        |      109 |     66.25 |  -241.97 | 10072.71 |
| 2000-02-18 |  89.83 |           |        |          |        |      109 |     66.25 |  -456.80 |  9857.88 |
| 2000-02-22 |  89.60 |           |        |          |        |      109 |     66.25 |  -481.68 |  9833.00 |
| 2000-02-23 |  90.66 |           |        |          |        |      109 |     66.25 |  -366.35 |  9948.34 |
| 2000-02-24 |  88.84 |           |        |          |        |      109 |     66.25 |  -565.35 |  9749.33 |
| 2000-02-25 |  88.52 |           |        |          |        |      109 |     66.25 |  -600.40 |  9714.28 |
| 2000-02-28 |  90.37 |           |        |  EXPIRY  |  90.37 |      109 |     66.25 |  -398.01 |  9916.67 |
| 2000-02-29 |  91.24 |           |        |          |        |          |           |          |  9916.67 |
| 2000-03-01 |  91.91 |           |        |          |        |          |           |          |  9916.67 |
| 2000-03-02 |  91.97 |           |        |          |        |          |           |          |  9916.67 |
| 2000-03-03 |  93.69 |           |        |          |        |          |           |          |  9916.67 |
| 2000-03-06 |  92.78 |           |        |          |        |          |           |          |  9916.67 |
| 2000-03-07 |  90.98 | PCT-0.005 |  92.95 |          |        |      106 |     65.13 |  -207.82 |  9708.85 |
| 2000-03-08 |  90.87 |           |        |          |        |      106 |     65.13 |  -219.91 |  9696.76 |
| 2000-03-09 |  93.53 |           |        |   PNL    |  93.53 |      106 |     65.47 |    61.58 |  9978.25 |
| 2000-03-10 |  93.03 |           |        |          |        |          |           |          |  9978.25 |
| 2000-03-13 |  92.01 | PCT-0.005 |  90.75 |   PNL    |  92.01 |      109 |     65.28 |   137.94 | 10116.19 |
| 2000-03-14 |  90.70 | PCT-0.005 |  92.47 |          |        |      109 |     87.19 |  -192.22 |  9923.97 |
| 2000-03-15 |  92.82 |           |        |   PNL    |  92.82 |      109 |     87.54 |    38.44 | 10154.63 |
| 2000-03-16 |  97.16 |           |        |          |        |          |           |          | 10154.63 |
| 2000-03-17 |  97.80 |           |        |          |        |          |           |          | 10154.63 |
| 2000-03-20 |  97.30 |           |        |          |        |          |           |          | 10154.63 |
| 2000-03-21 |  99.30 | PCT-0.005 |  96.86 |   PNL    |  99.30 |      104 |     93.25 |   253.09 | 10407.72 |
| 2000-03-22 |  99.90 |           |        |          |        |          |           |          | 10407.72 |
| 2000-03-23 | 101.61 |           |        |          |        |          |           |          | 10407.72 |
| 2000-03-24 | 102.21 |           |        |          |        |          |           |          | 10407.72 |
| 2000-03-27 | 101.13 |           |        |          |        |          |           |          | 10407.72 |
| 2000-03-28 | 100.54 | PCT-0.005 | 100.67 |          |        |      103 |     93.41 |   -12.85 | 10394.87 |
| 2000-03-29 | 100.65 |           |        |          |        |      103 |     93.41 |    -2.14 | 10405.58 |
| 2000-03-30 |  98.96 |           |        |          |        |      103 |     93.41 |  -175.67 | 10232.06 |
| 2000-03-31 | 100.09 |           |        |          |        |      103 |     93.41 |   -59.99 | 10347.73 |
| 2000-04-03 | 100.67 |           |        |   PNL    | 100.67 |      103 |     93.41 |     0.00 | 10407.72 |
| 2000-04-04 |  99.92 |           |        |          |        |          |           |          | 10407.72 |
| 2000-04-05 |  99.30 | PCT-0.005 |  98.42 |   PNL    |  99.30 |      105 |     90.77 |    91.73 | 10499.45 |
| 2000-04-06 | 100.16 | PCT-0.005 | 100.00 |   PNL    | 100.16 |      104 |     91.16 |    16.22 | 10515.67 |
| 2000-04-07 | 100.79 |           |        |          |        |          |           |          | 10515.67 |
| 2000-04-10 | 100.40 |           |        |          |        |          |           |          | 10515.67 |
| 2000-04-11 | 100.11 |           |        |          |        |          |           |          | 10515.67 |
| 2000-04-12 |  97.36 |           |        |          |        |          |           |          | 10515.67 |
| 2000-04-13 |  96.01 | PCT-0.005 |  98.15 |          |        |      107 |     88.42 |  -229.23 | 10286.44 |
| 2000-04-14 |  90.52 |           |        |          |        |      107 |     88.42 |  -816.77 |  9698.90 |
| 2000-04-17 |  93.68 |           |        |          |        |      107 |     88.42 |  -478.49 | 10037.18 |
| 2000-04-18 |  96.16 |           |        |          |        |      107 |     88.42 |  -213.65 | 10302.02 |
| 2000-04-19 |  95.26 |           |        |          |        |      107 |     88.42 |  -309.35 | 10206.32 |
| 2000-04-20 |  95.72 |           |        |          |        |      107 |     88.42 |  -260.39 | 10255.29 |
| 2000-04-24 |  94.68 |           |        |          |        |      107 |     88.42 |  -371.67 | 10144.01 |
| 2000-04-25 |  98.61 |           |        |   PNL    |  98.61 |      107 |     88.42 |    48.95 | 10564.63 |
