+------------+--------+----------+--------+----------+--------+----------+-----------+----------+----------+
|    Date    |  Close | InSignal |  Entry | ExSignal |   Exit | Position | StopLevel |      MTM |   Equity |
+------------+--------+----------+--------+----------+--------+----------+-----------+----------+----------+
| 2000-01-03 |  96.56 |          |        |          |        |          |           |          | 10000.00 |
| 2000-01-04 |  92.78 |          |        |          |        |          |           |          | 10000.00 |
| 2000-01-05 |  92.95 | PCT-0.01 |  92.90 |   PNL    |  92.95 |      107 |     65.77 |     4.44 | 10004.44 |
| 2000-01-06 |  91.45 |          |        |          |        |          |           |          | 10004.44 |
| 2000-01-07 |  96.76 | PCT-0.01 |  93.15 |   PNL    |  96.76 |      107 |     67.73 |   386.26 | 10390.70 |
| 2000-01-10 |  97.09 |          |        |          |        |          |           |          | 10390.70 |
| 2000-01-11 |  95.93 |          |        |          |        |          |           |          | 10390.70 |
| 2000-01-12 |  94.98 | PCT-0.01 |  95.99 |          |        |      108 |     67.20 |  -109.79 | 10280.91 |
| 2000-01-13 |  96.26 |          |        |   PNL    |  96.26 |      108 |     67.73 |    29.13 | 10419.83 |
| 2000-01-14 |  97.57 |          |        |          |        |          |           |          | 10419.83 |
| 2000-01-18 |  96.80 |          |        |          |        |          |           |          | 10419.83 |
| 2000-01-19 |  97.59 |          |        |          |        |          |           |          | 10419.83 |
| 2000-01-20 |  96.10 |          |        |          |        |          |           |          | 10419.83 |
| 2000-01-21 |  95.89 | PCT-0.01 |  96.60 |          |        |      107 |     67.62 |   -75.48 | 10344.35 |
| 2000-01-24 |  93.17 |          |        |          |        |      107 |     67.78 |  -366.28 | 10053.54 |
| 2000-01-25 |  94.23 |          |        |          |        |      107 |     67.78 |  -253.07 | 10166.76 |
| 2000-01-26 |  93.48 |          |        |          |        |      107 |     67.78 |  -332.99 | 10086.84 |
| 2000-01-27 |  93.11 |          |        |          |        |      107 |     67.78 |  -372.95 | 10046.88 |
| 2000-01-28 |  90.21 |          |        |          |        |      107 |     67.78 |  -683.73 |  9736.10 |
| 2000-01-31 |  92.65 |          |        |          |        |      107 |     67.78 |  -421.78 |  9998.05 |
| 2000-02-01 |  93.57 |          |        |          |        |      107 |     67.78 |  -324.10 | 10095.72 |
| 2000-02-02 |  93.65 |          |        |          |        |      107 |     67.78 |  -315.23 | 10104.60 |
| 2000-02-03 |  95.06 |          |        |          |        |      107 |     67.78 |  -164.27 | 10255.56 |
| 2000-02-04 |  94.67 |          |        |          |        |      107 |     67.78 |  -206.45 | 10213.38 |
| 2000-02-07 |  94.52 |          |        |  EXPIRY  |  94.52 |      107 |     67.78 |  -221.99 | 10197.84 |
| 2000-02-08 |  95.81 |          |        |          |        |          |           |          | 10197.84 |
| 2000-02-09 |  93.80 |          |        |          |        |          |           |          | 10197.84 |
| 2000-02-10 |  93.98 | PCT-0.01 |  94.02 |          |        |      108 |     66.25 |    -4.48 | 10193.36 |
| 2000-02-11 |  92.07 |          |        |          |        |      108 |     66.25 |  -210.63 |  9987.21 |
| 2000-02-14 |  92.61 |          |        |          |        |      108 |     66.25 |  -152.36 | 10045.47 |
| 2000-02-15 |  93.66 |          |        |          |        |      108 |     66.25 |   -39.21 | 10158.63 |
| 2000-02-16 |  92.28 |          |        |          |        |      108 |     66.25 |  -188.22 | 10009.62 |
| 2000-02-17 |  91.80 |          |        |          |        |      108 |     66.25 |  -239.75 |  9958.08 |
| 2000-02-18 |  89.83 |          |        |          |        |      108 |     66.25 |  -452.61 |  9745.23 |
| 2000-02-22 |  89.60 |          |        |          |        |      108 |     66.25 |  -477.26 |  9720.58 |
| 2000-02-23 |  90.66 |          |        |          |        |      108 |     66.25 |  -362.99 |  9834.85 |
| 2000-02-24 |  88.84 |          |        |          |        |      108 |     66.25 |  -560.16 |  9637.67 |
| 2000-02-25 |  88.52 |          |        |          |        |      108 |     66.25 |  -594.89 |  9602.94 |
| 2000-02-28 |  90.37 |          |        |  EXPIRY  |  90.37 |      108 |     66.25 |  -394.36 |  9803.48 |
| 2000-02-29 |  91.24 |          |        |          |        |          |           |          |  9803.48 |
| 2000-03-01 |  91.91 |          |        |          |        |          |           |          |  9803.48 |
| 2000-03-02 |  91.97 |          |        |          |        |          |           |          |  9803.48 |
| 2000-03-03 |  93.69 |          |        |          |        |          |           |          |  9803.48 |
| 2000-03-06 |  92.78 |          |        |          |        |          |           |          |  9803.48 |
| 2000-03-07 |  90.98 |          |        |          |        |          |           |          |  9803.48 |
| 2000-03-08 |  90.87 | PCT-0.01 |  90.60 |   PNL    |  90.87 |      108 |     64.06 |    29.13 |  9832.61 |
| 2000-03-09 |  93.53 |          |        |          |        |          |           |          |  9832.61 |
| 2000-03-10 |  93.03 |          |        |          |        |          |           |          |  9832.61 |
| 2000-03-13 |  92.01 |          |        |          |        |          |           |          |  9832.61 |
| 2000-03-14 |  90.70 | PCT-0.01 |  92.47 |          |        |      106 |     87.19 |  -186.93 |  9645.68 |
| 2000-03-15 |  92.82 |          |        |   PNL    |  92.82 |      106 |     87.54 |    37.38 |  9869.99 |
| 2000-03-16 |  97.16 |          |        |          |        |          |           |          |  9869.99 |
| 2000-03-17 |  97.80 |          |        |          |        |          |           |          |  9869.99 |
| 2000-03-20 |  97.30 |          |        |          |        |          |           |          |  9869.99 |
| 2000-03-21 |  99.30 |          |        |          |        |          |           |          |  9869.99 |
| 2000-03-22 |  99.90 |          |        |          |        |          |           |          |  9869.99 |
| 2000-03-23 | 101.61 |          |        |          |        |          |           |          |  9869.99 |
| 2000-03-24 | 102.21 |          |        |          |        |          |           |          |  9869.99 |
| 2000-03-27 | 101.13 |          |        |          |        |          |           |          |  9869.99 |
| 2000-03-28 | 100.54 | PCT-0.01 | 100.67 |          |        |       98 |     93.41 |   -12.23 |  9857.76 |
| 2000-03-29 | 100.65 |          |        |          |        |       98 |     93.41 |    -2.04 |  9867.95 |
| 2000-03-30 |  98.96 |          |        |          |        |       98 |     93.41 |  -167.14 |  9702.85 |
| 2000-03-31 | 100.09 |          |        |          |        |       98 |     93.41 |   -57.07 |  9812.92 |
| 2000-04-03 | 100.67 |          |        |   PNL    | 100.67 |       98 |     93.41 |     0.00 |  9869.99 |
| 2000-04-04 |  99.92 |          |        |          |        |          |           |          |  9869.99 |
| 2000-04-05 |  99.30 |          |        |          |        |          |           |          |  9869.99 |
| 2000-04-06 | 100.16 |          |        |          |        |          |           |          |  9869.99 |
| 2000-04-07 | 100.79 |          |        |          |        |          |           |          |  9869.99 |
| 2000-04-10 | 100.40 |          |        |          |        |          |           |          |  9869.99 |
| 2000-04-11 | 100.11 |          |        |          |        |          |           |          |  9869.99 |
| 2000-04-12 |  97.36 |          |        |          |        |          |           |          |  9869.99 |
| 2000-04-13 |  96.01 | PCT-0.01 |  98.15 |          |        |      100 |     88.42 |  -214.23 |  9655.76 |
| 2000-04-14 |  90.52 |          |        |          |        |      100 |     88.42 |  -763.34 |  9106.65 |
| 2000-04-17 |  93.68 |          |        |          |        |      100 |     88.42 |  -447.19 |  9422.81 |
| 2000-04-18 |  96.16 |          |        |          |        |      100 |     88.42 |  -199.68 |  9670.32 |
| 2000-04-19 |  95.26 |          |        |          |        |      100 |     88.42 |  -289.12 |  9580.88 |
| 2000-04-20 |  95.72 |          |        |          |        |      100 |     88.42 |  -243.35 |  9626.64 |
| 2000-04-24 |  94.68 |          |        |          |        |      100 |     88.42 |  -347.35 |  9522.64 |
| 2000-04-25 |  98.61 |          |        |   PNL    |  98.61 |      100 |     88.42 |    45.75 |  9915.74 |
| 2000-04-26 |  97.50 |          |        |          |        |          |           |          |  9915.74 |
| 2000-04-27 |  97.17 | PCT-0.01 |  95.18 |   PNL    |  97.17 |      104 |     87.77 |   207.66 | 10123.41 |
| 2000-04-28 |  96.57 |          |        |          |        |          |           |          | 10123.41 |
| 2000-05-01 |  97.88 |          |        |          |        |          |           |          | 10123.41 |
