Date,Close,InSignal,Entry,ExSignal,Exit,Position,StopLevel,MTM,Equity
2000-01-03,96.5551,,,,,,,0.0,10000.0
2000-01-04,92.7792,,,,,,,0.0,10000.0
2000-01-05,92.9451,PCT-0.005,92.9036,PNL,92.9451,107.0,65.7732,4.4398,10004.4398
2000-01-06,91.4514,,,,,,,0.0,10004.4398
2000-01-07,96.7625,PCT-0.005,93.1526,PNL,96.7625,107.0,67.7338,386.2617,10390.7015
2000-01-10,97.0945,,,,,,,0.0,10390.7015
2000-01-11,95.9326,,,,,,,0.0,10390.7015
2000-01-12,94.9783,PCT-0.005,95.9949,,,108.0,67.1964,-109.7915,10280.91
2000-01-13,96.2646,,,PNL,96.2646,108.0,67.7338,29.1268,10419.8283
2000-01-14,97.5717,,,,,,,0.0,10419.8283
2000-01-18,96.804,,,,,,,0.0,10419.8283
2000-01-19,97.5924,PCT-0.005,96.472,PNL,97.5924,108.0,68.3147,120.9946,10540.8229
2000-01-20,96.0987,,,,,,,0.0,10540.8229
2000-01-21,95.8912,PCT-0.005,96.5966,,,109.0,67.6176,-76.8872,10463.9357
2000-01-24,93.1734,,,,,109.0,67.7773,-373.1307,10167.6922
2000-01-25,94.2314,,,,,109.0,67.7773,-257.8022,10283.0207
2000-01-26,93.4846,,,,,109.0,67.7773,-339.2099,10201.613
2000-01-27,93.1111,,,,,109.0,67.7773,-379.917,10160.9058
2000-01-28,90.2066,,,,,109.0,67.7773,-696.5097,9844.3132
2000-01-31,92.6547,,,,,109.0,67.7773,-429.6646,10111.1582
2000-02-01,93.5676,,,,,109.0,67.7773,-330.1629,10210.66
2000-02-02,93.6505,,,,,109.0,67.7773,-321.1192,10219.7037
2000-02-03,95.0613,,,,,109.0,67.7773,-167.3409,10373.482
2000-02-04,94.6671,,,,,109.0,67.7773,-210.3087,10330.5142
2000-02-07,94.5219,,,EXPIRY,94.5219,109.0,67.7773,-226.1398,10314.683
2000-02-08,95.8082,,,,,,,0.0,10314.683
2000-02-09,93.7958,,,,,,,0.0,10314.683
2000-02-10,93.9825,PCT-0.005,94.024,,,109.0,66.2525,-4.5228,10310.1603
2000-02-11,92.0738,,,,,109.0,66.2525,-212.5754,10102.1076
2000-02-14,92.6132,,,,,109.0,66.2525,-153.7754,10160.9077
2000-02-15,93.6609,,,,,109.0,66.2525,-39.575,10275.108
2000-02-16,92.2812,,,,,109.0,66.2525,-189.9623,10124.7207
2000-02-17,91.8041,,,,,109.0,66.2525,-241.9738,10072.7092
2000-02-18,89.8332,,,,,109.0,66.2525,-456.8019,9857.8811
2000-02-22,89.6049,,,,,109.0,66.2525,-481.6801,9833.003
2000-02-23,90.663,,,,,109.0,66.2525,-366.3472,9948.3359
2000-02-24,88.8373,,,,,109.0,66.2525,-565.3496,9749.3335
2000-02-25,88.5157,,,,,109.0,66.2525,-600.4018,9714.2812
2000-02-28,90.3725,,,EXPIRY,90.3725,109.0,66.2525,-398.0106,9916.6724
2000-02-29,91.2439,,,,,,,0.0,9916.6724
2000-03-01,91.9078,,,,,,,0.0,9916.6724
2000-03-02,91.97,,,,,,,0.0,9916.6724
2000-03-03,93.692,,,,,,,0.0,9916.6724
2000-03-06,92.7792,,,,,,,0.0,9916.6724
2000-03-07,90.9846,PCT-0.005,92.9451,,,106.0,65.1342,-207.8192,9708.8533
2000-03-08,90.8705,,,,,106.0,65.1342,-219.9127,9696.7597
2000-03-09,93.526,,,PNL,93.526,106.0,65.4682,61.5756,9978.248
2000-03-10,93.0281,,,,,,,0.0,9978.248
2000-03-13,92.0116,PCT-0.005,90.746,PNL,92.0116,109.0,65.2795,137.9447,10116.1927
2000-03-14,90.7045,PCT-0.005,92.468,,,109.0,87.1944,-192.2181,9923.9746
