Date,Equity
2000-01-03,10000.0
2000-01-04,10000.0
2000-01-05,10004.4398
2000-01-06,10004.4398
2000-01-07,10390.7015
2000-01-10,10390.7015
2000-01-11,10390.7015
2000-01-12,10280.91
2000-01-13,10419.8283
2000-01-14,10419.8283
2000-01-18,10419.8283
2000-01-19,10540.8229
2000-01-20,10540.8229
2000-01-21,10463.9357
2000-01-24,10167.6922
2000-01-25,10283.0207
2000-01-26,10201.613
2000-01-27,10160.9058
2000-01-28,9844.3132
2000-01-31,10111.1582
2000-02-01,10210.66
2000-02-02,10219.7037
2000-02-03,10373.482
2000-02-04,10330.5142
2000-02-07,10314.683
2000-02-08,10314.683
2000-02-09,10314.683
2000-02-10,10310.1603
2000-02-11,10102.1076
2000-02-14,10160.9077
2000-02-15,10275.108
2000-02-16,10124.7207
2000-02-17,10072.7092
2000-02-18,9857.8811
2000-02-22,9833.003
2000-02-23,9948.3359
2000-02-24,9749.3335
2000-02-25,9714.2812
2000-02-28,9916.6724
2000-02-29,9916.6724
2000-03-01,9916.6724
2000-03-02,9916.6724
2000-03-03,9916.6724
2000-03-06,9916.6724
2000-03-07,9708.8533
2000-03-08,9696.7597
2000-03-09,9978.248
2000-03-10,9978.248
2000-03-13,10116.1927
2000-03-14,9923.9746
2000-03-15,10154.6328
2000-03-16,10154.6328
2000-03-17,10154.6328
2000-03-20,10154.6328
2000-03-21,10407.7201
2000-03-22,10407.7201
2000-03-23,10407.7201
2000-03-24,10407.7201
2000-03-27,10407.7201
2000-03-28,10394.8661
2000-03-29,10405.5791
2000-03-30,10232.055
2000-03-31,10347.7343
2000-04-03,10407.7246
2000-04-04,10407.7246
2000-04-05,10499.45
2000-04-06,10515.6739
2000-04-07,10515.6739
2000-04-10,10515.6739
2000-04-11,10515.6739
2000-04-12,10515.6739
2000-04-13,10286.4435
2000-04-14,9698.9
2000-04-17,10037.1827
2000-04-18,10302.0205
2000-04-19,10206.3197
2000-04-20,10255.2872
2000-04-24,10144.0051
2000-04-25,10564.6274
2000-04-26,10564.6274
2000-04-27,10784.2692
2000-04-28,10784.2692
2000-05-01,10820.8762
2000-05-02,10820.8762
2000-05-03,10578.6045
2000-05-04,10657.8053
2000-05-05,10785.9311
2000-05-08,10705.5587
2000-05-09,10620.5317
2000-05-10,10382.9192
2000-05-11,10618.2066
2000-05-12,10732.3503
