InDate,ExDate,Position,Duration,InSignal,Entry,ExSignal,Exit,DollarBase,Value,TradeRtn,PNL
2000-01-05,2000-01-05,107,0,PCT-0.005,92.9036,PNL,92.9451,10000.0,4.4398,0.0004,4.4398
2000-01-07,2000-01-07,107,0,PCT-0.005,93.1526,PNL,96.7625,10004.4398,386.2617,0.0386,390.7015
2000-01-12,2000-01-13,108,1,PCT-0.005,95.9949,PNL,96.2646,10390.7015,29.1268,0.0028,419.8283
2000-01-19,2000-01-19,108,0,PCT-0.005,96.472,PNL,97.5924,10419.8283,120.9946,0.0116,540.8229
2000-01-21,2000-02-07,109,11,PCT-0.005,96.5966,EXPIRY,94.5219,10540.8229,-226.1398,-0.0215,314.683
2000-02-10,2000-02-28,109,11,PCT-0.005,94.024,EXPIRY,90.3725,10314.683,-398.0106,-0.0386,-83.3276
2000-03-07,2000-03-09,106,2,PCT-0.005,92.9451,PNL,93.526,9916.6724,61.5756,0.0062,-21.752
2000-03-13,2000-03-13,109,0,PCT-0.005,90.746,PNL,92.0116,9978.248,137.9447,0.0138,116.1927
2000-03-14,2000-03-15,109,1,PCT-0.005,92.468,PNL,92.8207,10116.1927,38.4401,0.0038,154.6328
2000-03-21,2000-03-21,104,0,PCT-0.005,96.8629,PNL,99.2964,10154.6328,253.0873,0.0249,407.7201
2000-03-28,2000-04-03,103,4,PCT-0.005,100.6691,PNL,100.6692,10407.7201,0.0045,0.0,407.7246
2000-04-05,2000-04-05,105,0,PCT-0.005,98.4228,PNL,99.2964,10407.7246,91.7254,0.0088,499.45
2000-04-06,2000-04-06,104,0,PCT-0.005,100.0036,PNL,100.1596,10499.45,16.2239,0.0015,515.6739
2000-04-13,2000-04-25,107,7,PCT-0.005,98.1525,PNL,98.61,10515.6739,48.9535,0.0047,564.6274
2000-04-27,2000-04-27,110,0,PCT-0.005,95.1781,PNL,97.1749,10564.6274,219.6418,0.0208,784.2692
2000-05-01,2000-05-01,110,0,PCT-0.005,97.5493,PNL,97.8821,10784.2692,36.607,0.0034,820.8762
2000-05-03,2000-05-15,112,8,PCT-0.005,95.8437,PNL,96.6965,10820.8762,95.508,0.0088,916.3842
2000-05-18,2000-06-02,112,10,PCT-0.005,96.9253,PNL,98.402,10916.3842,165.3996,0.0152,1081.7838
2000-06-13,2000-06-13,114,0,PCT-0.005,96.3845,PNL,98.2356,11081.7838,211.0308,0.019,1292.8146
2000-06-19,2000-06-19,115,0,PCT-0.005,97.7164,PNL,99.0507,11292.8146,153.4441,0.0136,1446.2587
2000-06-23,2000-06-26,117,1,PCT-0.005,97.2786,PNL,97.56,11446.2587,32.9266,0.0029,1479.1853
2000-06-28,2000-07-03,118,3,PCT-0.005,97.1535,PNL,98.2584,11479.1853,130.3833,0.0114,1609.5686
2000-07-06,2000-07-06,120,0,PCT-0.005,96.6948,PNL,97.2368,11609.5686,65.0469,0.0056,1674.6156
2000-07-19,2000-07-20,117,1,PCT-0.005,99.7179,PNL,100.4892,11674.6156,90.2429,0.0077,1764.8584
2000-07-24,2000-08-07,119,10,PCT-0.005,98.8214,PNL,98.8214,11764.8584,0.0043,0.0,1764.8627
2000-08-10,2000-08-14,119,2,PCT-0.005,98.4252,PNL,99.5927,11764.8627,138.9315,0.0118,1903.7943
2000-08-31,2000-08-31,118,0,PCT-0.005,100.7811,PNL,101.6359,11903.7943,100.8645,0.0085,2004.6587
2000-09-06,2000-09-18,119,8,PCT-0.005,100.8644,STOP_OUT,96.7496,12004.6587,-489.6631,-0.0408,1514.9957
2000-09-19,2000-09-19,118,0,PCT-0.005,97.0631,PNL,97.6274,11514.9957,66.5898,0.0058,1581.5855
2000-09-21,2000-09-22,119,1,PCT-0.005,96.6242,PNL,97.1677,11581.5855,64.6665,0.0056,1646.252
2000-09-26,2000-09-28,120,2,PCT-0.005,96.5615,PNL,96.9795,11646.252,50.1626,0.0043,1696.4147
2000-10-02,2000-10-10,121,6,PCT-0.005,96.4988,STOP_OUT,92.0888,11696.4147,-533.6125,-0.0456,1162.8022
2000-10-11,2000-10-16,121,3,PCT-0.005,92.047,PNL,92.4231,11162.8022,45.5133,0.0041,1208.3155
2000-10-18,2000-10-18,126,0,PCT-0.005,88.7028,PNL,89.7897,11208.3155,136.9418,0.0122,1345.2573
2000-10-25,2000-10-27,122,2,PCT-0.005,92.7994,PNL,93.1547,11345.2573,43.3515,0.0038,1388.6088
2000-11-09,2000-11-09,121,0,PCT-0.005,93.6354,PNL,93.6563,11388.6088,2.529,0.0002,1391.1378
2000-11-13,2000-11-14,125,1,PCT-0.005,90.7093,PNL,93.0502,11391.1378,292.6086,0.0257,1683.7463
2000-11-17,2000-12-05,127,11,PCT-0.005,91.838,PNL,92.1096,11683.7463,34.5021,0.003,1718.2484
2000-12-07,2000-12-11,129,2,PCT-0.005,90.2077,PNL,92.7158,11718.2484,323.5411,0.0276,2041.7895
2000-12-14,2000-12-20,132,4,PCT-0.005,90.8765,STOP_OUT,84.6981,12041.7895,-815.5496,-0.0677,1226.2399
2000-12-21,2000-12-21,132,0,PCT-0.005,84.5304,PNL,85.2851,11226.2399,99.6251,0.0089,1325.865
2001-01-02,2001-01-03,127,1,PCT-0.005,88.5556,PNL,90.5683,11325.865,255.607,0.0226,1581.472
2001-01-05,2001-01-18,129,8,PCT-0.005,89.541,PNL,90.4215,11581.472,113.5835,0.0098,1695.0556
2001-01-22,2001-01-22,129,0,PCT-0.005,90.0651,PNL,90.5054,11695.0556,56.7938,0.0049,1751.8494
2001-02-01,2001-02-01,127,0,PCT-0.005,91.9771,PNL,92.5339,11751.8494,70.7153,0.006,1822.5648
2001-02-05,2001-02-05,130,0,PCT-0.005,90.4341,PNL,91.0982,11822.5648,86.3409,0.0073,1908.9056
2001-02-08,2001-02-20,131,7,PCT-0.005,90.4341,STOP_OUT,86.1338,11908.9056,-563.3395,-0.0473,1345.5661
2001-02-21,2001-03-08,132,11,PCT-0.005,85.805,EXPIRY,85.2818,11345.5661,-69.0699,-0.0061,1276.4962
2001-03-12,2001-03-22,137,8,PCT-0.005,82.075,STOP_OUT,74.7484,11276.4962,-1003.739,-0.089,272.7572
2001-03-23,2001-03-23,134,0,PCT-0.005,76.1813,PNL,77.0086,10272.7572,110.8715,0.0108,383.6287
2001-03-29,2001-03-29,134,0,PCT-0.005,77.1566,PNL,77.6813,10383.6287,70.3087,0.0068,453.9374
2001-04-03,2001-04-05,136,2,PCT-0.005,76.6723,PNL,77.3921,10453.9374,97.893,0.0094,551.8304
2001-04-09,2001-04-09,137,0,PCT-0.005,76.6858,PNL,77.0625,10551.8304,51.6082,0.0049,603.4386
2001-04-17,2001-04-17,134,0,PCT-0.005,78.9123,PNL,80.2241,10603.4386,175.7718,0.0166,779.2104
2001-04-23,2001-04-26,129,3,PCT-0.005,83.1772,PNL,83.2242,10779.2104,6.0718,0.0006,785.2822
2001-05-04,2001-05-04,129,0,PCT-0.005,83.1771,PNL,85.6593,10785.2822,320.2034,0.0297,1105.4855
2001-05-08,2001-05-16,130,6,PCT-0.005,85.3365,PNL,86.7424,11105.4855,182.7717,0.0165,1288.2572
2001-05-24,2001-05-24,129,0,PCT-0.005,87.0921,PNL,87.1998,11288.2572,13.8842,0.0012,1302.1414
2001-05-29,2001-06-05,131,5,PCT-0.005,86.2513,PNL,86.6415,11302.1414,51.1139,0.0045,1353.2553
