Date,Equity
2000-01-03,10000.0
2000-01-04,10000.0
2000-01-05,10000.0
2000-01-06,10000.0
2000-01-07,10000.0
2000-01-10,10000.0
2000-01-11,10000.0
2000-01-12,10000.0
2000-01-13,10000.0
2000-01-14,10000.0
2000-01-18,10000.0
2000-01-19,10000.0
2000-01-20,10000.0
2000-01-21,10000.0
2000-01-24,10000.0
2000-01-25,10101.0056
2000-01-26,10101.0056
2000-01-27,9987.7909
2000-01-28,9677.0073
2000-01-31,9938.9561
2000-02-01,10036.6322
2000-02-02,10045.5099
2000-02-03,10196.4666
2000-02-04,10196.4666
2000-02-07,10196.4666
2000-02-08,10196.4666
2000-02-09,10196.4666
2000-02-10,10196.4666
2000-02-11,10196.4666
2000-02-14,10196.4666
2000-02-15,10196.4666
2000-02-16,10196.4666
2000-02-17,10196.4666
2000-02-18,9936.3031
2000-02-22,9911.1967
2000-02-23,10027.5877
2000-02-24,9826.7596
2000-02-25,9791.3858
2000-02-28,9995.6338
2000-02-29,10091.4845
2000-03-01,10091.4845
2000-03-02,10091.4845
2000-03-03,10091.4845
2000-03-06,10091.4845
2000-03-07,10091.4845
2000-03-08,10091.4845
2000-03-09,10091.4845
2000-03-10,10091.4845
2000-03-13,10091.4845
2000-03-14,10091.4845
2000-03-15,10091.4845
2000-03-16,10091.4845
2000-03-17,10091.4845
2000-03-20,10091.4845
2000-03-21,10091.4845
2000-03-22,10091.4845
2000-03-23,10091.4845
2000-03-24,10091.4845
2000-03-27,10091.4845
2000-03-28,10091.4845
2000-03-29,10091.4845
2000-03-30,10091.4845
2000-03-31,10091.4845
2000-04-03,10091.4845
2000-04-04,10091.4845
2000-04-05,10091.4845
2000-04-06,10091.4845
2000-04-07,10091.4845
2000-04-10,10091.4845
2000-04-11,10091.4845
2000-04-12,10091.4845
2000-04-13,9872.9658
2000-04-14,9312.8777
2000-04-17,9635.3527
2000-04-18,9887.815
2000-04-19,9796.5862
2000-04-20,9843.2654
2000-04-24,9737.1834
2000-04-25,9737.1834
2000-04-26,9737.1834
2000-04-27,9940.8513
2000-04-28,9940.8513
2000-05-01,9940.8513
2000-05-02,9940.8513
2000-05-03,9940.8513
2000-05-04,9927.7476
2000-05-05,10047.8655
2000-05-08,10047.8655
2000-05-09,10047.8655
2000-05-10,9878.7247
2000-05-11,10103.5081
2000-05-12,10103.5081
