+------------+--------+----------+--------+----------+--------+----------+-----------+----------+----------+
|    Date    |  Close | InSignal |  Entry | ExSignal |   Exit | Position | StopLevel |      MTM |   Equity |
+------------+--------+----------+--------+----------+--------+----------+-----------+----------+----------+
| 2000-01-03 |  96.56 |          |        |          |        |          |           |          | 10000.00 |
| 2000-01-04 |  92.78 |          |        |          |        |          |           |          | 10000.00 |
| 2000-01-05 |  92.95 |          |        |          |        |          |           |          | 10000.00 |
| 2000-01-06 |  91.45 |          |        |          |        |          |           |          | 10000.00 |
| 2000-01-07 |  96.76 |          |        |          |        |          |           |          | 10000.00 |
| 2000-01-10 |  97.09 |          |        |          |        |          |           |          | 10000.00 |
| 2000-01-11 |  95.93 |          |        |          |        |          |           |          | 10000.00 |
| 2000-01-12 |  94.98 |          |        |          |        |          |           |          | 10000.00 |
| 2000-01-13 |  96.26 |          |        |          |        |          |           |          | 10000.00 |
| 2000-01-14 |  97.57 |          |        |          |        |          |           |          | 10000.00 |
| 2000-01-18 |  96.80 |          |        |          |        |          |           |          | 10000.00 |
| 2000-01-19 |  97.59 |          |        |          |        |          |           |          | 10000.00 |
| 2000-01-20 |  96.10 |          |        |          |        |          |           |          | 10000.00 |
| 2000-01-21 |  95.89 |          |        |          |        |          |           |          | 10000.00 |
| 2000-01-24 |  93.17 |          |        |          |        |          |           |          | 10000.00 |
| 2000-01-25 |  94.23 | MA-0.002 |  93.29 |   PNL    |  94.23 |      107 |     65.96 |   101.01 | 10101.01 |
| 2000-01-26 |  93.48 |          |        |          |        |          |           |          | 10101.01 |
| 2000-01-27 |  93.11 | MA-0.002 |  94.17 |          |        |      107 |     66.09 |  -113.21 |  9987.79 |
| 2000-01-28 |  90.21 |          |        |          |        |      107 |     66.09 |  -424.00 |  9677.01 |
| 2000-01-31 |  92.65 |          |        |          |        |      107 |     66.09 |  -162.05 |  9938.96 |
| 2000-02-01 |  93.57 |          |        |          |        |      107 |     66.09 |   -64.37 | 10036.63 |
| 2000-02-02 |  93.65 |          |        |          |        |      107 |     66.11 |   -55.50 | 10045.51 |
| 2000-02-03 |  95.06 |          |        |   PNL    |  95.06 |      107 |     66.57 |    95.46 | 10196.47 |
| 2000-02-04 |  94.67 |          |        |          |        |          |           |          | 10196.47 |
| 2000-02-07 |  94.52 |          |        |          |        |          |           |          | 10196.47 |
| 2000-02-08 |  95.81 |          |        |          |        |          |           |          | 10196.47 |
| 2000-02-09 |  93.80 |          |        |          |        |          |           |          | 10196.47 |
| 2000-02-10 |  93.98 |          |        |          |        |          |           |          | 10196.47 |
| 2000-02-11 |  92.07 |          |        |          |        |          |           |          | 10196.47 |
| 2000-02-14 |  92.61 |          |        |          |        |          |           |          | 10196.47 |
| 2000-02-15 |  93.66 |          |        |          |        |          |           |          | 10196.47 |
| 2000-02-16 |  92.28 |          |        |          |        |          |           |          | 10196.47 |
| 2000-02-17 |  91.80 |          |        |          |        |          |           |          | 10196.47 |
| 2000-02-18 |  89.83 | MA-0.002 |  92.20 |          |        |      110 |     64.54 |  -260.16 |  9936.30 |
| 2000-02-22 |  89.60 |          |        |          |        |      110 |     64.54 |  -285.27 |  9911.20 |
| 2000-02-23 |  90.66 |          |        |          |        |      110 |     64.54 |  -168.88 | 10027.59 |
| 2000-02-24 |  88.84 |          |        |          |        |      110 |     64.54 |  -369.71 |  9826.76 |
| 2000-02-25 |  88.52 |          |        |          |        |      110 |     64.54 |  -405.08 |  9791.39 |
| 2000-02-28 |  90.37 |          |        |          |        |      110 |     64.54 |  -200.83 |  9995.63 |
| 2000-02-29 |  91.24 |          |        |  EXPIRY  |  91.24 |      110 |     64.54 |  -104.98 | 10091.48 |
| 2000-03-01 |  91.91 |          |        |          |        |          |           |          | 10091.48 |
| 2000-03-02 |  91.97 |          |        |          |        |          |           |          | 10091.48 |
| 2000-03-03 |  93.69 |          |        |          |        |          |           |          | 10091.48 |
| 2000-03-06 |  92.78 |          |        |          |        |          |           |          | 10091.48 |
| 2000-03-07 |  90.98 |          |        |          |        |          |           |          | 10091.48 |
| 2000-03-08 |  90.87 |          |        |          |        |          |           |          | 10091.48 |
| 2000-03-09 |  93.53 |          |        |          |        |          |           |          | 10091.48 |
| 2000-03-10 |  93.03 |          |        |          |        |          |           |          | 10091.48 |
| 2000-03-13 |  92.01 |          |        |          |        |          |           |          | 10091.48 |
| 2000-03-14 |  90.70 |          |        |          |        |          |           |          | 10091.48 |
| 2000-03-15 |  92.82 |          |        |          |        |          |           |          | 10091.48 |
| 2000-03-16 |  97.16 |          |        |          |        |          |           |          | 10091.48 |
| 2000-03-17 |  97.80 |          |        |          |        |          |           |          | 10091.48 |
| 2000-03-20 |  97.30 |          |        |          |        |          |           |          | 10091.48 |
| 2000-03-21 |  99.30 |          |        |          |        |          |           |          | 10091.48 |
| 2000-03-22 |  99.90 |          |        |          |        |          |           |          | 10091.48 |
| 2000-03-23 | 101.61 |          |        |          |        |          |           |          | 10091.48 |
| 2000-03-24 | 102.21 |          |        |          |        |          |           |          | 10091.48 |
| 2000-03-27 | 101.13 |          |        |          |        |          |           |          | 10091.48 |
| 2000-03-28 | 100.54 |          |        |          |        |          |           |          | 10091.48 |
| 2000-03-29 | 100.65 |          |        |          |        |          |           |          | 10091.48 |
| 2000-03-30 |  98.96 |          |        |          |        |          |           |          | 10091.48 |
| 2000-03-31 | 100.09 |          |        |          |        |          |           |          | 10091.48 |
| 2000-04-03 | 100.67 |          |        |          |        |          |           |          | 10091.48 |
| 2000-04-04 |  99.92 |          |        |          |        |          |           |          | 10091.48 |
| 2000-04-05 |  99.30 |          |        |          |        |          |           |          | 10091.48 |
| 2000-04-06 | 100.16 |          |        |          |        |          |           |          | 10091.48 |
| 2000-04-07 | 100.79 |          |        |          |        |          |           |          | 10091.48 |
| 2000-04-10 | 100.40 |          |        |          |        |          |           |          | 10091.48 |
| 2000-04-11 | 100.11 |          |        |          |        |          |           |          | 10091.48 |
| 2000-04-12 |  97.36 |          |        |          |        |          |           |          | 10091.48 |
| 2000-04-13 |  96.01 | MA-0.002 |  98.15 |          |        |      102 |     88.42 |  -218.52 |  9872.97 |
| 2000-04-14 |  90.52 |          |        |          |        |      102 |     88.42 |  -778.61 |  9312.88 |
| 2000-04-17 |  93.68 |          |        |          |        |      102 |     88.42 |  -456.13 |  9635.35 |
| 2000-04-18 |  96.16 |          |        |          |        |      102 |     88.42 |  -203.67 |  9887.82 |
| 2000-04-19 |  95.26 |          |        |          |        |      102 |     88.42 |  -294.90 |  9796.59 |
| 2000-04-20 |  95.72 |          |        |          |        |      102 |     88.42 |  -248.22 |  9843.27 |
| 2000-04-24 |  94.68 |          |        |  EXPIRY  |  94.68 |      102 |     88.42 |  -354.30 |  9737.18 |
| 2000-04-25 |  98.61 |          |        |          |        |          |           |          |  9737.18 |
| 2000-04-26 |  97.50 |          |        |          |        |          |           |          |  9737.18 |
| 2000-04-27 |  97.17 | MA-0.002 |  95.18 |   PNL    |  97.17 |      102 |     87.77 |   203.67 |  9940.85 |
| 2000-04-28 |  96.57 |          |        |          |        |          |           |          |  9940.85 |
| 2000-05-01 |  97.88 |          |        |          |        |          |           |          |  9940.85 |
| 2000-05-02 |  95.93 |          |        |          |        |          |           |          |  9940.85 |
| 2000-05-03 |  93.68 |          |        |          |        |          |           |          |  9940.85 |
| 2000-05-04 |  94.39 | MA-0.002 |  94.51 |          |        |      105 |     85.21 |   -13.10 |  9927.75 |
| 2000-05-05 |  95.53 |          |        |   PNL    |  95.53 |      105 |     86.66 |   107.01 | 10047.87 |
| 2000-05-08 |  94.81 |          |        |          |        |          |           |          | 10047.87 |
| 2000-05-09 |  94.06 |          |        |          |        |          |           |          | 10047.87 |
| 2000-05-10 |  91.93 | MA-0.002 |  93.51 |          |        |      107 |     85.33 |  -169.14 |  9878.72 |
