InDate,ExDate,Position,Duration,InSignal,Entry,ExSignal,Exit,DollarBase,Value,TradeRtn,PNL
2000-01-25,2000-01-25,107,0,MA-0.002,93.2874,PNL,94.2314,10000.0,101.0056,0.0101,101.0056
2000-01-27,2000-02-03,107,5,MA-0.002,94.1692,PNL,95.0613,10101.0056,95.461,0.0095,196.4666
2000-02-18,2000-02-29,110,6,MA-0.002,92.1983,EXPIRY,91.2439,10196.4666,-104.9821,-0.0103,91.4845
2000-04-13,2000-04-24,102,6,MA-0.002,98.1525,EXPIRY,94.6789,10091.4845,-354.3011,-0.0351,-262.8166
2000-04-27,2000-04-27,102,0,MA-0.002,95.1781,PNL,97.1749,9737.1834,203.6679,0.0209,-59.1487
2000-05-04,2000-05-05,105,1,MA-0.002,94.5125,PNL,95.5317,9940.8513,107.0143,0.0108,47.8655
2000-05-10,2000-05-11,107,1,MA-0.002,93.5142,PNL,94.0342,10047.8655,55.6426,0.0055,103.5081
2000-05-24,2000-05-24,109,0,MA-0.002,91.8502,PNL,93.3477,10103.5081,163.2337,0.0162,266.7419
2000-05-26,2000-05-30,111,1,MA-0.002,92.391,PNL,94.8454,10266.7419,272.4357,0.0265,539.1776
2000-06-30,2000-06-30,109,0,MA-0.002,96.0276,PNL,96.9241,10539.1776,97.7164,0.0093,636.8939
2000-07-06,2000-07-06,110,0,MA-0.002,96.6948,PNL,97.2368,10636.8939,59.6264,0.0056,696.5203
2000-07-27,2000-08-04,109,6,MA-0.002,97.362,PNL,97.6539,10696.5203,31.8192,0.003,728.3395
2000-09-13,2000-09-13,108,0,MA-0.002,98.738,PNL,99.3322,10728.3395,64.171,0.006,792.5105
2000-09-18,2000-09-26,110,6,MA-0.002,97.8992,EXPIRY,95.2448,10792.5105,-291.9842,-0.0271,500.5262
2000-09-27,2000-09-28,109,1,MA-0.002,96.0181,PNL,96.9795,10500.5262,104.7959,0.01,605.3221
2000-10-04,2000-10-04,110,0,MA-0.002,95.5583,PNL,96.1018,10605.3221,59.7762,0.0056,665.0983
2000-10-09,2000-10-12,112,3,MA-0.002,94.5133,STOP_OUT,89.0373,10665.0983,-613.3134,-0.0575,51.785
2000-10-13,2000-10-13,113,0,MA-0.002,88.9118,PNL,92.0052,10051.785,349.5444,0.0348,401.3293
2000-10-18,2000-10-18,117,0,MA-0.002,88.7028,PNL,89.7897,10401.3293,127.1602,0.0122,528.4896
2000-11-14,2000-11-14,114,0,MA-0.002,91.9424,PNL,93.0502,10528.4896,126.2824,0.012,654.7719
